mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000004,2022-04-27T03:27:07.000Z,0,3.8848,NaN,8.924,Infinity,NaN,Infinity
,,1.5625,0.115,NaN,0.1198,11.7138,NaN,12.2027
,,3.125,0.0263,NaN,0.0742,1.3394,NaN,3.779
,,4.6875,0.1245,0.0383,0.1293,4.2272,1.3004,4.3901
,,6.25,0.0695,0.1054,0.0335,1.7698,2.684,0.8531
,,7.8125,0.0814,0.0311,0.1485,1.6583,0.6336,3.0252
,,9.375,0.0599,0.0072,0.024,1.0169,0.1222,0.4074
,,10.9375,0.1413,0.0431,0.1102,2.0561,0.6272,1.6036
,,12.5,0.0742,0.1054,0.0144,0.9447,1.342,0.1833
,,14.0625,0.0958,0.0359,0.0742,1.0842,0.4063,0.8398
,,15.625,0.0168,0.0048,0.0335,0.1711,0.0489,0.3412
,,17.1875,0.1413,0.0431,0.1389,1.3084,0.3991,1.2862
,,18.75,0.1006,0.1126,0.0431,0.8539,0.9558,0.3658
,,20.3125,0.115,0.0575,0.0575,0.9011,0.4505,0.4505
,,21.875,0.1389,0.024,0.1126,1.0106,0.1746,0.8192
,,23.4375,0.2084,0.0766,0.1964,1.4152,0.5202,1.3337
,,25,0.1653,0.1389,0.0599,1.0523,0.8843,0.3813
,,26.5625,0.1485,0.1006,0.0647,0.8898,0.6028,0.3877
,,28.125,0.0647,0.0479,0.0766,0.3661,0.2711,0.4335
,,29.6875,0.2419,0.115,NaN,1.2968,0.6165,NaN
,,31.25,0.4287,0.3377,NaN,2.1834,1.7199,NaN
,,32.8125,0.1198,0.0719,NaN,0.5811,0.3487,NaN
,,34.375,0.1485,0.0383,NaN,0.6875,0.1773,NaN
,,35.9375,0.5509,0.2395,NaN,2.4397,1.0607,NaN
,,37.5,0.6299,0.4,NaN,2.6734,1.6977,NaN
,,39.0625,0.0551,0.0671,NaN,0.2245,0.2734,NaN
,,40.625,0.17,NaN,NaN,0.666,NaN,NaN
