mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000005,2022-04-26T17:16:42.000Z,0,0.3497,3.9902,9.1156,Infinity,Infinity,Infinity
,,1.5625,0.0072,0.0934,0.0719,0.7334,9.5136,7.3237
,,3.125,0.0263,0.0192,0.0623,1.3394,0.9778,3.1729
,,4.6875,0.0527,0.1198,0.0527,1.7893,4.0676,1.7893
,,6.25,0.1557,0.0383,0.0551,3.9649,0.9753,1.4031
,,7.8125,0.0479,0.1245,0.0359,0.9758,2.5363,0.7313
,,9.375,0.0192,0.0671,0.0886,0.3259,1.1391,1.5041
,,10.9375,0.0335,0.1509,0.0551,0.4875,2.1958,0.8018
,,12.5,0.1389,0.0599,0.0623,1.7685,0.7627,0.7932
,,14.0625,0.0144,0.0479,0.0623,0.163,0.5421,0.7051
,,15.625,0.0383,0.0335,0.0551,0.3901,0.3412,0.5612
,,17.1875,0.0479,0.1988,0.0742,0.4436,1.8409,0.6871
,,18.75,0.1581,0.0695,0.0623,1.342,0.5899,0.5288
,,20.3125,0.0192,0.0742,0.0144,0.1504,0.5814,0.1128
,,21.875,0.0359,0.0766,0.0814,0.2612,0.5573,0.5922
,,23.4375,0.0838,0.2467,0.0814,0.5691,1.6752,0.5528
,,25,0.2036,0.0766,0.1389,1.2962,0.4877,0.8843
,,26.5625,0.0599,0.0719,0.0359,0.3589,0.4308,0.2151
,,28.125,0.0527,0.0551,0.0623,0.2982,0.3118,0.3525
,,29.6875,0.1078,0.2587,0.1653,0.5779,1.3869,0.8862
,,31.25,0.2706,0.2778,0.1605,1.3782,1.4148,0.8174
,,32.8125,0.0862,0.0695,0.1437,0.4181,0.3371,0.697
,,34.375,0.0551,0.0527,0.0623,0.2551,0.244,0.2884
,,35.9375,0.2156,0.4646,0.2203,0.9548,2.0576,0.9756
,,37.5,0.4048,0.3808,0.1102,1.718,1.6162,0.4677
,,39.0625,0.0575,0.0814,0.103,0.2343,0.3317,0.4197
,,40.625,0.1174,0.1389,0.1102,0.4599,0.5442,0.4317
,,42.1875,1.0203,1.9711,0.9341,3.8491,7.4361,3.5239
,,43.75,1.4418,1.2718,0.7257,5.245,4.6266,2.64
,,45.3125,0.4934,0.6634,0.4311,1.733,2.3301,1.5142
,,46.875,0.5078,0.5628,0.3497,1.7241,1.9109,1.1873
,,48.4375,0.9556,1.334,0.8766,3.1399,4.3832,2.8803
,,50,0.7592,0.6922,0.3952,2.4166,2.2033,1.258
,,51.5625,0.2659,0.2251,0.0814,0.8207,0.6948,0.2513
,,53.125,0.1198,0.0599,0.115,0.3589,0.1795,0.3445
,,54.6875,0.364,0.5173,0.273,1.0593,1.5055,0.7945
,,56.25,0.2108,0.388,0.1892,0.5964,1.0978,0.5353
,,57.8125,0.091,0.091,0.0575,0.2505,0.2505,0.1583
,,59.375,0.079,0.0168,0.103,0.2118,0.045,0.2761
,,60.9375,0.2611,0.2922,0.2084,0.6819,0.7632,0.5443
,,62.5,0.2108,0.1605,0.3066,0.5368,0.4087,0.7808
,,64.0625,0.0814,0.1796,0.2491,0.2022,0.4462,0.6189
,,65.625,0.024,0.091,0.1892,0.0582,0.2207,0.4589
,,67.1875,0.194,0.1317,0.1389,0.4596,0.312,0.329
,,68.75,NaN,0.2491,0.0958,NaN,0.5767,0.2218
,,70.3125,NaN,0.0551,0.0695,NaN,0.1247,0.1573
,,71.875,NaN,0.0814,0.0168,NaN,0.1802,0.0372
,,73.4375,NaN,0.0958,0.0359,NaN,0.2076,0.0778
,,75,NaN,0.1485,0.1054,NaN,0.3151,0.2237
,,76.5625,NaN,0.0503,0.0503,NaN,0.1046,0.1046
,,78.125,NaN,0.0216,0.0144,NaN,0.044,0.0293
,,79.6875,NaN,0.1413,0.0958,NaN,0.2822,0.1913
,,81.25,NaN,0.1916,0.1174,NaN,0.3753,0.23
,,82.8125,NaN,0.0599,NaN,NaN,0.1151,NaN
,,84.375,NaN,0.1126,NaN,NaN,0.2124,NaN
,,85.9375,NaN,0.1988,NaN,NaN,0.3682,NaN
,,87.5,0.2251,0.1868,NaN,0.4094,0.3398,NaN
,,89.0625,0.4934,0.2347,NaN,0.8817,0.4194,NaN
,,90.625,0.7233,0.4503,NaN,1.2703,0.7908,NaN
,,92.1875,0.9939,0.8478,NaN,1.7159,1.4637,NaN
,,93.75,0.5078,0.285,NaN,0.8621,0.4838,NaN
,,95.3125,0.0407,0.1317,NaN,0.068,0.2199,NaN
,,96.875,0.0431,0.0862,NaN,0.0708,0.1416,NaN
,,98.4375,0.1629,0.206,NaN,0.2634,0.3331,NaN
,,100,0.1892,0.103,NaN,0.3011,0.1639,NaN
,,101.5625,0.1988,0.0575,0.0766,0.3115,0.0901,0.12
,,103.125,0.0431,0.0886,0.0383,0.0665,0.1367,0.0591
,,104.6875,0.2706,0.2012,0.2323,0.4114,0.3059,0.3532
,,106.25,0.2179,0.024,0.1198,0.3264,0.036,0.1795
,,107.8125,0.1102,0.0431,0.0719,0.1627,0.0636,0.1061
,,109.375,0.309,0.103,0.1437,0.4496,0.1499,0.2091
,,110.9375,0.2299,0.0335,0.2251,0.3298,0.0481,0.3229
,,112.5,0.2203,0.0647,0.1317,0.3117,0.0915,0.1863
,,114.0625,0.0479,0.0742,0.1102,0.0668,0.1035,0.1538
,,115.625,0.2156,0.0814,0.1844,0.2968,0.112,0.2538
,,117.1875,0.1054,0.1437,0.2443,0.1431,0.1952,0.3318
,,118.75,0.2419,0.024,0.0862,0.3242,0.0322,0.1155
,,120.3125,0.1748,0.0982,0.0431,0.2312,0.1299,0.057
,,121.875,0.1581,0.0814,0.0623,0.2065,0.1063,0.0814
,,123.4375,0.0862,0.1006,0.0958,0.1111,0.1297,0.1235
,,125,0.2179,0.115,0.1293,0.2774,0.1464,0.1646
,,126.5625,0.2371,0.1006,0.0335,0.2982,0.1265,0.0421
,,128.125,0.6658,0.1341,0.2635,0.827,0.1666,0.3273
,,129.6875,0.3449,NaN,0.1892,0.4233,NaN,0.2322
,,131.25,0.2706,NaN,0.2084,0.3281,NaN,0.2527
,,132.8125,0.1006,NaN,0.1054,0.1206,NaN,0.1263
,,134.375,1.0466,NaN,0.5557,1.2396,NaN,0.6582
,,135.9375,0.6155,NaN,0.4287,0.7206,NaN,0.5019
,,137.5,0.1772,NaN,0.1892,0.2051,NaN,0.219
,,139.0625,0.1844,NaN,0.0958,0.211,NaN,0.1096
,,140.625,0.5221,NaN,0.2994,0.5909,NaN,0.3389
,,142.1875,0.0719,NaN,0.1557,0.0805,NaN,0.1743
,,143.75,0.1844,NaN,0.2036,0.2042,NaN,0.2254
,,145.3125,0.1964,NaN,0.0623,0.2151,NaN,0.0682
,,146.875,0.3976,NaN,0.2347,0.4308,NaN,0.2543
,,148.4375,0.1916,0.115,0.1868,0.2054,0.1233,0.2003
,,150,0.0862,0.1413,0.0599,0.0915,0.1499,0.0636
,,151.5625,0.1892,0.0862,0.1581,0.1987,0.0905,0.166
,,153.125,0.3042,0.1293,0.182,0.3162,0.1344,0.1892
,,154.6875,0.4958,0.2395,0.3281,0.5101,0.2464,0.3376
,,156.25,0.4982,0.0359,0.1174,0.5075,0.0366,0.1196
,,157.8125,0.2563,0.0263,0.103,0.2585,0.0265,0.1039
,,159.375,0.1413,0.0431,0.0814,0.1411,0.043,0.0813
,,160.9375,0.2275,0.079,0.1605,0.225,0.0781,0.1587
,,162.5,0.2084,0.012,0.0958,0.2041,0.0118,0.0938
,,164.0625,0.1653,0.1365,0.1293,0.1604,0.1324,0.1254
,,165.625,0.1485,0.115,0.2539,0.1427,0.1105,0.244
,,167.1875,0.1796,0.0647,0.091,0.171,0.0616,0.0866
,,168.75,0.0599,0.0982,0.1605,0.0565,0.0926,0.1514
,,170.3125,0.1245,0.1509,0.0766,0.1163,0.141,0.0716
,,171.875,0.2227,0.0958,0.079,0.2062,0.0887,0.0732
,,173.4375,0.0527,0.0599,NaN,0.0484,0.055,NaN
,,175,0.091,0.0623,NaN,0.0828,0.0567,NaN
,,176.5625,0.2132,0.0287,NaN,0.1922,0.0259,NaN
,,178.125,0.1964,0.1461,NaN,0.1755,0.1305,NaN
,,179.6875,0.1293,0.2156,NaN,0.1145,0.191,NaN
,,181.25,0.4048,0.2299,NaN,0.3555,0.2019,NaN
,,182.8125,0.206,0.2275,NaN,0.1793,0.1981,NaN
,,184.375,0.3521,0.5245,NaN,0.3039,0.4528,NaN
,,185.9375,0.3161,0.2706,NaN,0.2706,0.2316,NaN
,,187.5,0.1964,0.2587,NaN,0.1667,0.2196,NaN
,,189.0625,0.4407,0.0695,NaN,0.371,0.0585,NaN
,,190.625,0.1724,0.1102,NaN,0.1439,0.092,NaN
,,192.1875,0.1844,0.0719,NaN,0.1527,0.0595,NaN
,,193.75,0.0527,0.1461,NaN,0.0433,0.12,NaN
,,195.3125,0.2635,0.0766,NaN,0.2147,0.0624,NaN
,,196.875,0.1198,0.0335,NaN,0.0968,0.0271,NaN
,,198.4375,0.1964,0.0287,NaN,0.1575,0.023,NaN
,,200,0.1006,0.0719,NaN,0.0801,0.0572,NaN
,,201.5625,0.2706,NaN,NaN,0.2137,NaN,NaN
,,203.125,0.376,NaN,NaN,0.2946,NaN,NaN
,,204.6875,0.1916,NaN,NaN,0.149,NaN,NaN
,,206.25,0.091,NaN,NaN,0.0702,NaN,NaN
,,207.8125,0.2491,NaN,NaN,0.1908,NaN,NaN
,,209.375,0.3209,NaN,0.0383,0.2439,NaN,0.0291
,,210.9375,0.1581,NaN,0.1796,0.1193,NaN,0.1355
,,212.5,0.2323,NaN,0.2323,0.174,NaN,0.174
,,214.0625,0.115,NaN,0.1245,0.0855,NaN,0.0926
,,215.625,0.1365,NaN,0.0527,0.1008,NaN,0.0389
,,217.1875,0.1964,NaN,0.0982,0.1439,NaN,0.072
,,218.75,0.3401,NaN,0.182,0.2474,NaN,0.1324
,,220.3125,0.0742,NaN,0.4024,0.0536,NaN,0.2907
,,221.875,0.1341,NaN,0.0934,0.0962,NaN,0.067
,,223.4375,0.376,NaN,0.1245,0.2678,NaN,0.0887
,,225,0.1772,NaN,0.1485,0.1253,NaN,0.105
,,226.5625,0.9197,NaN,NaN,0.6461,NaN,NaN
,,228.125,1.0299,NaN,NaN,0.7185,NaN,NaN
,,229.6875,0.5772,NaN,NaN,0.4,NaN,NaN
,,231.25,0.4215,NaN,NaN,0.2901,NaN,NaN
,,232.8125,0.4072,NaN,NaN,0.2784,NaN,NaN
,,234.375,0.0407,NaN,NaN,0.0276,NaN,NaN
,,235.9375,0.0287,NaN,NaN,0.0194,NaN,NaN
,,237.5,0.0647,0,NaN,0.0434,0,NaN
,,239.0625,0.1533,0.0982,NaN,0.1021,0.0654,NaN
,,240.625,0.273,0.1581,NaN,0.1806,0.1046,NaN
,,242.1875,0.1916,0.091,NaN,0.1259,0.0598,NaN
,,243.75,0.1198,0.0479,NaN,0.0782,0.0313,NaN
,,245.3125,0.1748,0.1677,NaN,0.1134,0.1088,NaN
,,246.875,0.2299,0.0335,NaN,0.1482,0.0216,NaN
,,248.4375,0.2635,0.0838,NaN,0.1688,0.0537,NaN
,,250,0.0647,0.0958,NaN,0.0412,0.061,NaN
,,251.5625,0.2323,0.1341,NaN,0.147,0.0848,NaN
,,253.125,0.2227,0.0072,NaN,0.14,0.0045,NaN
,,254.6875,0.2539,0.0862,NaN,0.1587,0.0539,NaN
,,256.25,0.1772,0.1389,NaN,0.1101,0.0863,NaN
,,257.8125,0.0719,0.0263,NaN,0.0444,0.0162,NaN
,,259.375,0.3401,0.0886,NaN,0.2087,0.0544,NaN
,,260.9375,0.0814,0.0503,NaN,0.0496,0.0307,NaN
,,262.5,0.2994,0.0551,NaN,0.1815,0.0334,NaN
,,264.0625,0.1437,0.0527,NaN,0.0866,0.0318,NaN
,,265.625,0.1605,0.0575,NaN,0.0962,0.0345,NaN
,,267.1875,0.0479,0.0695,NaN,0.0285,0.0414,NaN
,,268.75,0.2515,0.1006,NaN,0.1489,0.0596,NaN
,,270.3125,0.297,0.0886,NaN,0.1749,0.0522,NaN
,,271.875,0.1653,0.0766,NaN,0.0968,0.0448,NaN
,,273.4375,0.2371,NaN,NaN,0.138,NaN,NaN
,,275,0.1437,NaN,NaN,0.0832,NaN,NaN
,,276.5625,0.2371,NaN,NaN,0.1364,NaN,NaN
,,278.125,0.2227,NaN,NaN,0.1274,NaN,NaN
,,279.6875,0.206,NaN,NaN,0.1172,NaN,NaN
,,281.25,0.1437,NaN,NaN,0.0813,NaN,NaN
,,282.8125,0.0766,NaN,NaN,0.0431,NaN,NaN
,,284.375,NaN,NaN,NaN,NaN,NaN,NaN
,,285.9375,NaN,NaN,NaN,NaN,NaN,NaN
,,287.5,NaN,NaN,NaN,NaN,NaN,NaN
,,289.0625,NaN,NaN,NaN,NaN,NaN,NaN
,,290.625,NaN,NaN,NaN,NaN,NaN,NaN
,,292.1875,NaN,0.0934,NaN,NaN,0.0509,NaN
,,293.75,NaN,0.1245,NaN,NaN,0.0675,NaN
,,295.3125,NaN,0.1533,NaN,NaN,0.0826,NaN
,,296.875,NaN,0.1772,NaN,NaN,0.095,NaN
,,298.4375,NaN,0.0479,0,NaN,0.0255,0
,,300,NaN,0.115,0.0695,NaN,0.061,0.0369
,,301.5625,NaN,0.0766,0.1485,NaN,0.0404,0.0784
,,303.125,0.2419,0.2156,0.17,0.127,0.1132,0.0893
,,304.6875,0.0527,0.1221,0.0814,0.0275,0.0638,0.0425
,,306.25,0.079,0.0647,0.0886,0.0411,0.0336,0.046
,,307.8125,0.2898,0.1533,0.0287,0.1498,0.0793,0.0148
,,309.375,0.1724,0.0719,0.0671,0.0887,0.037,0.0345
,,310.9375,0.1006,0.024,0.0072,0.0515,0.0123,0.0037
,,312.5,0.0838,0.0934,0.0862,0.0427,0.0476,0.0439
,,314.0625,0.1724,0.1557,0.1293,0.0874,0.0789,0.0655
,,315.625,0.0263,0.0311,0.1677,0.0133,0.0157,0.0846
,,317.1875,0.2275,0.1102,0.1102,0.1142,0.0553,0.0553
,,318.75,0.1389,0.0479,0.1293,0.0694,0.0239,0.0646
,,320.3125,NaN,0.0814,0.1581,NaN,0.0404,0.0786
,,321.875,NaN,0.1054,0.0599,NaN,0.0521,0.0296
,,323.4375,NaN,0.0216,0.1078,NaN,0.0106,0.053
,,325,NaN,0.1629,0.0742,NaN,0.0798,0.0363
,,326.5625,NaN,0.0383,0.1006,NaN,0.0187,0.049
,,328.125,NaN,0.1269,0.024,NaN,0.0616,0.0116
,,329.6875,NaN,0.0168,0.0695,NaN,0.0081,0.0336
,,331.25,NaN,0.0072,0.0455,NaN,0.0035,0.0219
,,332.8125,NaN,0.1006,0.0862,NaN,0.0481,0.0412
,,334.375,NaN,0.091,0.1006,NaN,0.0433,0.0479
,,335.9375,NaN,0.0479,0.0742,NaN,0.0227,0.0352
,,337.5,NaN,0.0719,0.0359,NaN,0.0339,0.0169
,,339.0625,0.1677,0.1245,0.0431,0.0787,0.0584,0.0202
,,340.625,0.1509,0.0862,0.0431,0.0705,0.0403,0.0201
,,342.1875,0.1293,0.1006,0.0814,0.0601,0.0468,0.0379
,,343.75,0.1174,0.1054,0.0814,0.0544,0.0488,0.0377
,,345.3125,0.0982,0.0838,0.0599,0.0453,0.0386,0.0276
,,346.875,0.1317,0.0551,0.0982,0.0604,0.0253,0.0451
,,348.4375,0.1054,0.0287,0.0335,0.0481,0.0131,0.0153
,,350,0.0695,0.1198,0.0168,0.0316,0.0545,0.0076
,,351.5625,0.0742,0.1269,0.0216,0.0336,0.0574,0.0098
,,353.125,0.1413,0.1629,0.0814,0.0637,0.0734,0.0367
,,354.6875,0.1892,0.194,0.1317,0.0849,0.0871,0.0591
,,356.25,0.079,0.1557,0.0982,0.0353,0.0696,0.0439
,,357.8125,0.2251,0.1772,0.1006,0.1001,0.0788,0.0447
,,359.375,0.2946,0.1389,0.1221,0.1305,0.0615,0.0541
,,360.9375,0.1341,0.1317,0.0623,0.0591,0.0581,0.0275
,,362.5,0.1437,0.1605,0.1078,0.0631,0.0705,0.0473
,,364.0625,0.0359,0.1341,0.0766,0.0157,0.0586,0.0335
,,365.625,0.091,0.0287,0.0431,0.0396,0.0125,0.0188
,,367.1875,0.1748,0.2227,0.0647,0.0758,0.0965,0.028
,,368.75,0.0359,0.1221,0.1006,0.0155,0.0527,0.0434
,,370.3125,0.115,0.0144,0.0216,0.0494,0.0062,0.0093
,,371.875,0.0862,0.1293,0.0623,0.0369,0.0553,0.0267
,,373.4375,0.0431,0.1221,0.1533,0.0184,0.052,0.0653
,,375,0.1988,0.0671,0.0335,0.0844,0.0285,0.0142
,,376.5625,0.0623,0.0431,0.0527,0.0263,0.0182,0.0223
,,378.125,0.0862,0.194,0.1245,0.0363,0.0817,0.0524
,,379.6875,0.1724,0.079,0.1341,0.0723,0.0331,0.0562
,,381.25,0.091,0.1677,0.0551,0.038,0.07,0.023
,,382.8125,0.1413,0.012,0.1174,0.0587,0.005,0.0488
,,384.375,0.1581,0.1006,0.0311,0.0655,0.0417,0.0129
,,385.9375,0.0934,0.0862,0.024,0.0385,0.0355,0.0099
,,387.5,0.0695,0.0958,0.1317,0.0285,0.0393,0.0541
,,389.0625,0.1269,0.0359,0.0431,0.0519,0.0147,0.0176
,,390.625,0.1796,0.1006,0.0335,0.0732,0.041,0.0136
,,392.1875,0.2012,0.0623,0.0479,0.0816,0.0253,0.0194
,,393.75,0.0407,0.0335,0.091,0.0165,0.0135,0.0368
,,395.3125,0.1006,0.1078,0.0719,0.0405,0.0434,0.0289
,,396.875,0.1174,0.1126,0.0503,0.0471,0.0452,0.0202
,,398.4375,0.0623,0.0192,0.0263,0.0249,0.0077,0.0105
,,400,0.2203,NaN,0.0599,0.0877,NaN,0.0238
,,401.5625,0.1413,NaN,0.0742,0.056,NaN,0.0294
,,403.125,0.0814,NaN,0.0814,0.0321,NaN,0.0321
,,404.6875,0.1078,NaN,0.0599,0.0424,NaN,0.0236
,,406.25,0.194,NaN,NaN,0.076,NaN,NaN
,,407.8125,0.1006,NaN,NaN,0.0393,NaN,NaN
,,409.375,0.024,NaN,NaN,0.0093,NaN,NaN
,,410.9375,0.1916,NaN,NaN,0.0742,NaN,NaN
,,412.5,0.0814,NaN,NaN,0.0314,NaN,NaN
,,414.0625,0.1245,NaN,NaN,0.0479,NaN,NaN
,,415.625,0.0623,NaN,NaN,0.0239,NaN,NaN
,,417.1875,0.0311,0,NaN,0.0119,0,NaN
,,418.75,0.0958,0.0263,NaN,0.0364,0.01,NaN
,,420.3125,0.0479,0.1102,NaN,0.0181,0.0417,NaN
,,421.875,0.1653,0.1054,NaN,0.0624,0.0398,NaN
,,423.4375,0.0192,0.1102,NaN,0.0072,0.0414,NaN
,,425,0.1174,0.0575,0,0.044,0.0215,0
,,426.5625,0.0862,0.1317,0.0383,0.0322,0.0491,0.0143
,,428.125,NaN,0.024,0.0479,NaN,0.0089,0.0178
,,429.6875,NaN,0.1581,0.0814,NaN,0.0586,0.0302
,,431.25,NaN,0.0766,0.0479,NaN,0.0283,0.0177
,,432.8125,NaN,0.091,0.0766,NaN,0.0335,0.0282
,,434.375,NaN,0.0216,0.0503,NaN,0.0079,0.0184
,,435.9375,NaN,NaN,0.0503,NaN,NaN,0.0184
,,437.5,NaN,NaN,0.0407,NaN,NaN,0.0148
,,439.0625,NaN,NaN,0.0072,NaN,NaN,0.0026
,,440.625,NaN,NaN,0.0575,NaN,NaN,0.0208
,,442.1875,NaN,NaN,NaN,NaN,NaN,NaN
,,443.75,NaN,NaN,NaN,NaN,NaN,NaN
,,445.3125,NaN,NaN,NaN,NaN,NaN,NaN
,,446.875,NaN,NaN,NaN,NaN,NaN,NaN
,,448.4375,NaN,NaN,NaN,NaN,NaN,NaN
,,450,NaN,NaN,NaN,NaN,NaN,NaN
,,451.5625,NaN,NaN,NaN,NaN,NaN,NaN
,,453.125,NaN,0,NaN,NaN,0,NaN
,,454.6875,NaN,0.0335,NaN,NaN,0.0117,NaN
,,456.25,NaN,0.1437,NaN,NaN,0.0501,NaN
,,457.8125,NaN,0.0695,NaN,NaN,0.0242,NaN
,,459.375,NaN,0.0048,NaN,NaN,0.0017,NaN
,,460.9375,NaN,0.079,0.0623,NaN,0.0273,0.0215
,,462.5,NaN,0.079,0.0311,NaN,0.0272,0.0107
,,464.0625,NaN,0.0958,0.0383,NaN,0.0329,0.0131
,,465.625,NaN,0.0431,0.079,NaN,0.0147,0.027
,,467.1875,NaN,0.0886,0.0192,NaN,0.0302,0.0065
,,468.75,NaN,0.0742,0.0072,NaN,0.0252,0.0024
,,470.3125,NaN,0.0527,0.0527,NaN,0.0178,0.0178
,,471.875,NaN,0.091,0.079,NaN,0.0307,0.0266
,,473.4375,NaN,0.0527,0.0431,NaN,0.0177,0.0145
,,475,NaN,0.1245,0.0431,NaN,0.0417,0.0144
,,476.5625,NaN,0.091,0.0431,NaN,0.0304,0.0144
,,478.125,NaN,0.0814,NaN,NaN,0.0271,NaN
,,479.6875,NaN,0.0263,NaN,NaN,0.0087,NaN
,,481.25,NaN,0.0599,NaN,NaN,0.0198,NaN
,,482.8125,0.0503,0.0886,NaN,0.0166,0.0292,NaN
,,484.375,0.1006,0.0479,NaN,0.0331,0.0157,NaN
,,485.9375,0.0599,0.0359,NaN,0.0196,0.0118,NaN
,,487.5,0.0335,0.0527,NaN,0.0109,0.0172,NaN
,,489.0625,0.0479,0.0527,NaN,0.0156,0.0172,NaN
,,490.625,0.024,0.0647,NaN,0.0078,0.021,NaN
,,492.1875,0.0623,0.0575,NaN,0.0201,0.0186,NaN
,,493.75,0.0479,0.024,NaN,0.0154,0.0077,NaN
,,495.3125,0,0.0647,NaN,0,0.0208,NaN
,,496.875,0.0575,0.0335,0.0527,0.0184,0.0107,0.0169
,,498.4375,0.0287,0.1221,0.0958,0.0092,0.039,0.0306
,,500,NaN,0.1677,0.1006,NaN,0.0534,0.032
,,501.5625,NaN,0.0766,0.0479,NaN,0.0243,0.0152
,,503.125,NaN,0.012,0.0527,NaN,0.0038,0.0167
,,504.6875,NaN,0.0359,0.1269,NaN,0.0113,0.04
,,506.25,NaN,0.0359,0.024,NaN,0.0113,0.0075
,,507.8125,NaN,0.0503,0.0695,NaN,0.0158,0.0218
,,509.375,NaN,0.0671,0.0048,NaN,0.021,0.0015
,,510.9375,NaN,0.0216,0.0359,NaN,0.0067,0.0112
,,512.5,NaN,0.0503,0.0431,NaN,0.0156,0.0134
,,514.0625,NaN,0.0287,0.0383,NaN,0.0089,0.0119
,,515.625,NaN,0.0934,0.0263,NaN,0.0288,0.0081
,,517.1875,NaN,0.0431,0.0431,NaN,0.0133,0.0133
,,518.75,NaN,0.0551,0.0599,NaN,0.0169,0.0184
,,520.3125,NaN,0.0335,0.024,NaN,0.0102,0.0073
,,521.875,NaN,0.0263,0.091,NaN,0.008,0.0278
,,523.4375,NaN,0.0742,0.0192,NaN,0.0226,0.0058
,,525,NaN,0.0383,0.0766,NaN,0.0116,0.0232
,,526.5625,NaN,0.0072,0.0287,NaN,0.0022,0.0087
,,528.125,NaN,0.0311,0.0671,NaN,0.0094,0.0202
,,529.6875,NaN,0.0263,0.0479,NaN,0.0079,0.0144
,,531.25,NaN,0.0527,0.0431,NaN,0.0158,0.0129
,,532.8125,NaN,0.0407,NaN,NaN,0.0122,NaN
,,534.375,NaN,0.0144,NaN,NaN,0.0043,NaN
,,535.9375,NaN,0.0192,NaN,NaN,0.0057,NaN
,,537.5,NaN,0.0383,NaN,NaN,0.0113,NaN
,,539.0625,NaN,0.0192,NaN,NaN,0.0057,NaN
,,540.625,NaN,0.0335,NaN,NaN,0.0099,NaN
,,542.1875,NaN,0.0383,NaN,NaN,0.0112,NaN
,,543.75,NaN,0.0383,NaN,NaN,0.0112,NaN
,,545.3125,NaN,0.0623,NaN,NaN,0.0182,NaN
