time,freq,fftAccX
1,0,0.6275
1,15.625,0.0862
1,3.125,0.0335
1,46.875,0.115
1,6.25,0.079
1,78.125,0.1605
1,9.375,0.0575
1,109.375,0.1365
1,12.5,0.1102
1,140.625,0.0862
1,15.625,0.182
1,171.875,0.1221
1,18.75,0.1174
1,203.125,0.091
1,21.875,0.0551
1,234.375,0.0407
1,25,0.0335
1,265.625,0.1677
1,28.125,0.0335
1,296.875,0.0168
1,31.25,0.0335
1,328.125,0.1437
1,34.375,0.0263
1,359.375,0.0647
1,37.5,0.0623
1,390.625,0.0359
1,40.625,0.079
1,421.875,0.0527
1,43.75,0.0695
1,453.125,0.0599
1,46.875,0.091
1,484.375,0.1509
1,50,0.115
1,515.625,0.0503
1,53.125,0.0695
1,546.875,0.0671
1,56.25,0.0671
1,578.125,0.0599
1,59.375,0.4096
1,609.375,0.0311
1,62.5,0.0862
1,640.625,0.0862
1,65.625,0.2922
1,671.875,0.1509
1,68.75,0.1557
1,703.125,0.0671
1,71.875,0.1533
1,734.375,0.0742
1,75,0.1557
1,765.625,0.2371
1,78.125,0.1293
1,796.875,0.2179
1,81.25,0.1245
1,828.125,0.103
1,84.375,0.4646
1,859.375,0.2108
1,87.5,0.2156
1,890.625,0.2491
1,90.625,0.1796
1,921.875,0.2251
1,93.75,0.3018
1,953.125,0.4287
1,96.875,0.297
1,984.375,0.1772
1,100,10.682
1,1.015.625,0.5676
1,103.125,0.1485
1,1.046.875,0.3473
1,106.25,0.3018
1,1.078.125,0.4958
1,109.375,0.4359
1,1.109.375,0.7449
1,112.5,0.2203
1,1.140.625,0.1916
1,115.625,0.2874
1,1.171.875,0.5078
1,118.75,0.7544
1,1.203.125,0.5341
1,121.875,0.4599
1,1.234.375,0.1772
1,125,0.8957
1,1.265.625,11.281
1,128.125,15.065
1,1.296.875,0.7209
1,131.25,0.5054
1,1.328.125,0.9341
1,134.375,0.982
1,1.359.375,27.807
1,137.5,0.7041
1,1.390.625,0.6155
1,140.625,0.5844
1,1.421.875,0.7904
1,143.75,41.578
1,1.453.125,0.5149
1,146.875,0.1988
1,1.484.375,0.5916
1,150,10.778
1,1.515.625,26.537
1,153.125,12.358
1,1.546.875,0.6395
1,156.25,0.6371
1,1.578.125,12.478
1,159.375,20.765
1,1.609.375,18.442
1,162.5,0.3688
1,1.640.625,0.2419
1,165.625,0.091
1,1.671.875,0.3353
1,168.75,0.776
1,1.703.125,0.3688
1,171.875,0.0503
1,1.734.375,0.2251
1,175,0.1772
1,1.765.625,15.304
1,178.125,0.0551
1,1.796.875,0.1174
1,181.25,0.1389
1,1.828.125,0.1916
1,184.375,0.5796
1,1.859.375,0.2036
1,187.5,0.558
1,1.890.625,0.2012
1,190.625,0.3473
1,1.921.875,0.8263
1,193.75,0.6658
1,1.953.125,NaN
1,196.875,NaN
1,1.984.375,NaN
1,200,NaN
1,2.015.625,NaN
1,203.125,NaN
1,2.046.875,NaN
1,206.25,NaN
1,2.078.125,NaN
1,209.375,NaN
1,2.109.375,NaN
1,212.5,0
1,2.140.625,0.1461
1,215.625,0.3209
1,2.171.875,0.7952
1,218.75,0.4934
1,2.203.125,0.5365
1,221.875,0.0838
1,2.234.375,0.6467
1,225,0.1605
1,2.265.625,0.4503
1,228.125,17.173
1,2.296.875,0.2443
1,231.25,0.4982
1,2.328.125,0.206
1,234.375,0.5437
1,2.359.375,0.4096
1,237.5,0.3018
1,2.390.625,0.0742
1,240.625,0.4215
1,2.421.875,0.5317
1,243.75,0.9724
1,2.453.125,0.9221
1,246.875,0.2227
1,2.484.375,0.4766
1,250,0.2754
1,2.515.625,0.1221
1,253.125,0.3712
1,2.546.875,0.5125
1,256.25,0.3832
1,2.578.125,0.1413
1,259.375,0.1437
1,2.609.375,14.514
1,262.5,0.3569
1,2.640.625,0.5437
1,265.625,0.2371
1,2.671.875,0.2443
1,268.75,0.5389
1,2.703.125,0.4072
1,271.875,0.5748
1,2.734.375,0.4814
1,275,0.4072
1,2.765.625,0.7736
1,278.125,0.5844
1,2.796.875,0.5533
1,281.25,0.2898
1,2.828.125,0.2491
1,284.375,0.0886
1,2.859.375,0.2419
1,287.5,0.9173
1,2.890.625,0.2203
1,290.625,0.3305
1,2.921.875,0.2778
1,293.75,0.3066
1,2.953.125,0.1653
1,296.875,0.1102
1,2.984.375,0.1964
1,300,0.2371
1,3.015.625,0.1174
1,303.125,0.3449
1,3.046.875,0.3018
1,306.25,0.1317
1,3.078.125,0.2659
1,309.375,0.1509
1,3.109.375,0.285
1,312.5,0.3497
1,3.140.625,0.0503
1,315.625,0.3449
1,3.171.875,0.3952
1,318.75,0.0862
1,3.203.125,10.251
1,321.875,0.0934
1,3.234.375,0.2012
1,325,0.1078
1,3.265.625,0.1221
1,328.125,0.0742
1,3.296.875,0.0551
1,331.25,0.0766
1,3.328.125,0.0431
1,334.375,0.103
1,3.359.375,0.1006
1,337.5,0.0958
1,3.390.625,0.0216
1,340.625,0.0814
1,3.421.875,0.0479
1,343.75,0.0647
1,3.453.125,0.1724
1,346.875,0.0862
1,3.484.375,0.0982
1,350,0.0647
1,3.515.625,0.0814
1,353.125,0.2395
1,3.546.875,0.103
1,356.25,0.1269
1,3.578.125,0.079
1,359.375,0.0503
1,3.609.375,0.1916
1,362.5,0.0671
1,3.640.625,0.1341
1,365.625,0.1772
1,3.671.875,0.1054
1,368.75,0.1724
1,3.703.125,0.182
1,371.875,0.3377
1,3.734.375,0.0647
1,375,NaN
1,3.765.625,NaN
1,378.125,NaN
1,3.796.875,NaN
1,381.25,NaN
1,3.828.125,NaN
1,384.375,NaN
1,3.859.375,NaN
1,387.5,NaN
1,3.890.625,NaN
1,390.625,NaN
1,3.921.875,0
1,393.75,0.0311
1,3.953.125,0.273
1,396.875,0.2682
1,3.984.375,0.0503
1,400,0.0671
1,4.015.625,0.0886
1,403.125,0.0431
1,4.046.875,0.3138
1,406.25,0.0862
1,4.078.125,0.0982
1,409.375,0.0072
1,4.109.375,0.0048
1,412.5,0.479
1,4.140.625,0.0719
1,415.625,0.0383
1,4.171.875,0.079
1,418.75,0.0766
1,4.203.125,0.0503
1,421.875,0.0814
1,4.234.375,0.1772
1,425,0.0695
1,4.265.625,0.103
1,428.125,0.115
1,4.296.875,0.1892
1,431.25,0.1964
1,4.328.125,0.1509
1,434.375,0.1245
1,4.359.375,0.0479
1,437.5,0.0982
1,4.390.625,0.1557
1,440.625,0.1341
1,4.421.875,0.0862
1,443.75,0.0742
1,4.453.125,0.1245
1,446.875,0.0503
1,4.484.375,0.0479
1,450,0.0359
1,4.515.625,0.0934
1,453.125,0.0551
1,4.546.875,0.0383
1,456.25,0.0072
1,4.578.125,0.0407
1,459.375,0.0168
1,4.609.375,0.0671
1,462.5,0.0168
1,4.640.625,0.1006
1,465.625,0.012
1,4.671.875,0.091
1,468.75,0.0527
1,4.703.125,0.0527
1,471.875,0.0719
1,4.734.375,0.0216
1,475,0.0479
1,4.765.625,0.0599
1,478.125,0.0263
1,4.796.875,0.115
1,481.25,0.0814
1,4.828.125,0.0838
1,484.375,0.0335
1,4.859.375,0.0431
1,487.5,0.0335
1,4.890.625,0.0335
1,490.625,0.012
1,4.921.875,0.0551
1,493.75,0.0287
1,4.953.125,0.012
1,496.875,0.0551
1,4.984.375,0.0503
1,500,0.0192
1,5.015.625,0.0335
1,503.125,0.0383
1,5.046.875,0.0144
1,506.25,0.0192
1,5.078.125,0.0311
1,509.375,0.0144
1,5.109.375,0.0407
1,512.5,0.012
1,5.140.625,0.0479
1,515.625,0.0695
1,5.171.875,0.0527
1,518.75,0.0048
1,5.203.125,0.0431
1,521.875,0.0623
1,5.234.375,0.0647
1,525,0.0335
1,5.265.625,0.0503
1,528.125,0.0144
1,5.296.875,0.0287
1,531.25,0.0263
1,5.328.125,0.0144
1,534.375,0.012
1,5.359.375,0.0144
1,537.5,0.0168
1,5.390.625,0.0431
1,540.625,0.0527
1,5.421.875,0.0527
1,543.75,0.0287
1,5.453.125,0.0431
1,546.875,0.0527
1,5.484.375,0.1293
1,550,0.024
1,5.515.625,0.0623
1,553.125,0.0359
1,5.546.875,0.0383
1,556.25,0.0766
1,5.578.125,0.0072
1,559.375,0.0551
1,5.609.375,0.0623
1,562.5,0.0216
1,5.640.625,0.079
1,565.625,0.0263
1,5.671.875,0.0742
1,568.75,0.0527
1,5.703.125,0.0168
1,571.875,0.0359
1,5.734.375,0.024
1,575,0.0527
1,5.765.625,0.0742
1,578.125,0.0216
1,5.796.875,0.024
1,581.25,0.0216
1,5.828.125,0.0407
1,584.375,0.0216
1,5.859.375,0.0216
1,587.5,0.0144
1,5.890.625,0.0216
1,590.625,0.0216
1,5.921.875,0.0168
1,593.75,0.0144
1,5.953.125,0.0335
1,596.875,0.0311
1,5.984.375,0.012
1,600,0.024
1,6.015.625,0.024
1,603.125,0.0216
1,6.046.875,0.0287
1,606.25,0.012
1,6.078.125,0.0192
1,609.375,0.0479
1,6.109.375,0.0311
1,612.5,0.0168
1,6.140.625,0.0311
1,615.625,0.0359
1,6.171.875,0.0072
1,618.75,0.0192
1,6.203.125,0.0383
1,621.875,0.0311
1,6.234.375,0.0503
1,625,0
1,6.265.625,0.0575
1,628.125,0.0359
1,6.296.875,0.0335
1,631.25,0.0287
1,6.328.125,0.0311
1,634.375,0.0263
1,6.359.375,0.0359
1,637.5,0.0216
1,6.390.625,0.0168
1,640.625,0.0192
1,6.421.875,0.0383
1,643.75,0.0216
1,6.453.125,0.0144
1,646.875,0.012
1,6.484.375,0.0407
1,650,0.0048
1,6.515.625,0.0359
1,653.125,0.0263
1,6.546.875,0.0168
1,656.25,0.0072
1,6.578.125,0.0263
1,659.375,0.0192
1,6.609.375,0.024
1,662.5,NaN
1,6.640.625,NaN
1,665.625,NaN
1,6.671.875,NaN
1,668.75,NaN
1,6.703.125,NaN
1,671.875,NaN
1,6.734.375,NaN
1,675,NaN
1,6.765.625,NaN
1,678.125,NaN
1,6.796.875,0
1,681.25,0.0287
1,6.828.125,0.0287
1,684.375,0.0192
1,6.859.375,0.0144
1,687.5,0.0144
1,6.890.625,0.0192
1,690.625,0.0431
1,6.921.875,0.0168
1,693.75,0.0048
1,6.953.125,0.0335
1,696.875,0
1,6.984.375,0.0455
1,700,0.0216
1,7.015.625,0.024
1,703.125,0.0048
1,7.046.875,0.0192
1,706.25,0.0216
1,7.078.125,0.0144
1,709.375,0.0168
1,7.109.375,0.0359
1,712.5,0.0072
1,7.140.625,0.012
1,715.625,0.0216
1,7.171.875,0.024
1,718.75,0
1,7.203.125,0.0072
1,721.875,0.0072
1,7.234.375,0.0335
1,725,0.0048
1,7.265.625,0.0216
1,728.125,0.0192
1,7.296.875,0.024
1,731.25,0.0072
1,7.328.125,0.0168
1,734.375,0.0192
1,7.359.375,0.0263
1,737.5,0.0144
1,7.390.625,0.0144
1,740.625,0.0168
1,7.421.875,0.0216
1,743.75,0.0072
1,7.453.125,0.0168
1,746.875,0.0072
1,7.484.375,0.0192
1,750,0.0144
1,7.515.625,0.0144
1,753.125,0.0216
1,7.546.875,0.0263
1,756.25,0.0192
1,7.578.125,0.024
1,759.375,0.0192
1,7.609.375,0.0263
1,762.5,0.0072
1,7.640.625,0.012
1,765.625,0.0144
1,7.671.875,0.0335
1,768.75,0.0144
1,7.703.125,0.0072
1,771.875,0.0144
1,7.734.375,0.0359
1,775,0.0072
1,7.765.625,0.0072
1,778.125,0.0072
1,7.796.875,0.0263
1,781.25,0.0144
1,7.828.125,0.0144
1,784.375,0.0192
1,7.859.375,0.0287
1,787.5,0.0144
1,7.890.625,0.0072
1,790.625,0.0216
1,7.921.875,0.0311
1,793.75,0.012
1,7.953.125,0.0048
1,796.875,0.0144
1,7.984.375,0.0479
1,800,0
