mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-11T03:13:36.000Z,0,0.115,2.8573,9.8149,Infinity,Infinity,Infinity
,,3.125,0.3377,0.1533,0.3688,17.1989,7.8075,18.7828
,,6.25,0,0.0192,0.0431,0,0.4889,1.0975
,,9.375,0.2443,0.206,0.4239,4.1474,3.4972,7.1963
,,12.5,0.0862,0.0623,0.0671,1.0975,0.7932,0.8543
,,15.625,0.4982,0.273,0.4694,5.0746,2.7808,4.7813
,,18.75,0.0144,0.0958,0.0479,0.1222,0.8132,0.4066
,,21.875,0.1605,0.1892,0.2778,1.1677,1.3766,2.0212
,,25,0.1245,0.2012,0.079,0.7926,1.2809,0.5029
,,28.125,0.8071,0.5485,0.752,4.5673,3.1039,4.2554
,,31.25,0.0551,0.1245,0.0814,0.2806,0.6341,0.4146
,,34.375,0.1988,0.024,0.285,0.9204,0.1111,1.3195
,,37.5,0.4191,0.5892,0.3185,1.7787,2.5006,1.3518
,,40.625,2.7184,2.043,2.1124,10.6498,8.0038,8.2757
,,43.75,0.4096,0.5317,0.3664,1.4901,1.9342,1.3329
,,46.875,0.6467,0.6419,0.5221,2.1957,2.1794,1.7727
,,50,0.5078,0.6898,0.3688,1.6164,2.1957,1.1739
,,53.125,2.1532,1.8346,1.3005,6.4507,5.4962,3.8961
,,56.25,0.1509,0.1293,0.0719,0.427,0.3658,0.2034
,,59.375,0.1796,0.0455,0.4527,0.4814,0.122,1.2135
,,62.5,0.2323,0.2132,0.1581,0.5915,0.5429,0.4026
,,65.625,0.6682,0.4694,0.4742,1.6205,1.1384,1.15
,,68.75,0.1054,0.0575,0.0671,0.244,0.1331,0.1553
,,71.875,0.2874,0.0431,0.4694,0.6364,0.0954,1.0394
,,75,0.194,0.1413,0.0862,0.4117,0.2998,0.1829
,,78.125,0.4096,0.4599,0.3114,0.8344,0.9369,0.6344
,,81.25,0.1581,0.5533,0.0934,0.3097,1.0838,0.183
,,84.375,0.5796,0.788,1.1784,1.0933,1.4864,2.2228
,,87.5,0.2778,0.4239,0.3497,0.5053,0.771,0.6361
,,90.625,0.673,1.3197,0.9005,1.1819,2.3176,1.5815
,,93.75,0.7113,3.0465,1.2311,1.2075,5.1719,2.09
,,96.875,0.194,1.0275,0.4215,0.3187,1.6881,0.6925
,,100,0.1485,0.388,0.4263,0.2363,0.6175,0.6785
,,103.125,0.364,0.2994,0.1605,0.5618,0.4621,0.2477
,,106.25,0.2084,1.0802,0.3736,0.3122,1.6181,0.5596
,,109.375,0.2132,0.3593,0.2898,0.3102,0.5228,0.4217
,,112.5,0.1533,0.4,0.2156,0.2169,0.5659,0.305
,,115.625,0.1413,0.4934,0.4862,0.1945,0.6792,0.6692
,,118.75,0.0958,0.285,0.4359,0.1284,0.382,0.5842
,,121.875,0.1844,0.3712,0.7281,0.2408,0.4847,0.9508
,,125,0.2946,0.5125,0.6754,0.3751,0.6525,0.8599
,,128.125,0.1509,0.3545,0.503,0.1874,0.4404,0.6248
,,131.25,0.6395,0.2203,1.6238,0.7755,0.2671,1.969
,,134.375,0.9149,0.8431,3.0369,1.0836,0.9986,3.5969
,,137.5,0.7616,0.7856,1.346,0.8815,0.9093,1.558
,,140.625,0.4191,0.5628,0.9437,0.4743,0.637,1.068
,,143.75,0.5173,0.4407,1.1353,0.5727,0.4879,1.257
,,146.875,0.5461,0.1557,0.9173,0.5918,0.1687,0.994
,,150,0.2443,0.6275,0.6826,0.2592,0.6658,0.7243
,,153.125,0.1293,0.3497,0.1221,0.1344,0.3635,0.1269
,,156.25,0.2371,0.5604,0.2635,0.2415,0.5708,0.2684
,,159.375,0.3784,0.273,0.5748,0.3779,0.2726,0.574
,,162.5,0.1605,0.115,0.2874,0.1572,0.1126,0.2815
,,165.625,0.1102,0.3497,0.2922,0.1059,0.336,0.2808
,,168.75,0.1748,0.2419,0.3497,0.1649,0.2281,0.3298
,,171.875,0.3688,0.194,0.3066,0.3415,0.1796,0.2839
,,175,0.2874,0.2946,0.5197,0.2614,0.2679,0.4726
,,178.125,1.346,1.0993,0.4694,1.2027,0.9822,0.4194
,,181.25,0.8167,0.6107,0.2371,0.7171,0.5363,0.2082
,,184.375,0.661,0.6898,0.6443,0.5706,0.5954,0.5562
,,187.5,0.491,0.6443,0.6179,0.4168,0.5469,0.5245
,,190.625,0.9293,0.673,0.2635,0.7759,0.5619,0.22
,,193.75,0.3497,0.4263,0.17,0.2873,0.3502,0.1396
,,196.875,0.4119,0.3976,0.2946,0.333,0.3214,0.2382
,,200,0.1389,0.6155,0.1437,0.1105,0.4898,0.1144
,,203.125,0.6994,0.5676,0.1126,0.548,0.4447,0.0882
,,206.25,0.661,0.2132,0.17,0.5101,0.1645,0.1312
,,209.375,0.2491,0.1844,0.2419,0.1894,0.1402,0.1839
,,212.5,0.3185,0.1796,0.1078,0.2385,0.1345,0.0807
,,215.625,0.6251,0.2946,0.182,0.4614,0.2174,0.1343
,,218.75,0.9844,0.0599,0.2299,0.7162,0.0436,0.1673
,,221.875,0.8934,0.0575,0.1916,0.6409,0.0412,0.1374
,,225,0.8886,0.4694,0.3617,0.6286,0.332,0.2559
,,228.125,1.3245,0.7377,0.4886,0.9241,0.5147,0.3409
,,231.25,0.7113,0.5437,0.1317,0.4895,0.3742,0.0906
,,234.375,0.5437,0.1293,0.273,0.3692,0.0878,0.1854
,,237.5,0.3497,0.1964,0.1485,0.2343,0.1316,0.0995
,,240.625,0.0575,0.1485,0.1054,0.038,0.0982,0.0697
,,243.75,0.0958,0.0192,0.115,0.0626,0.0125,0.0751
,,246.875,0.5652,0.0623,0.2563,0.3644,0.0402,0.1652
,,250,0.3617,0.0814,0.0766,0.2303,0.0518,0.0488
,,253.125,0.2275,0.2179,0.3018,0.143,0.137,0.1898
,,256.25,0.2563,0.0383,0.0263,0.1592,0.0238,0.0163
,,259.375,0.5149,0.0575,0.1102,0.3159,0.0353,0.0676
,,262.5,0.182,0.1221,0.0862,0.1103,0.074,0.0523
,,265.625,0.3569,0.1437,0.1006,0.2138,0.0861,0.0603
,,268.75,0.3305,0.1868,0.2227,0.1957,0.1106,0.1319
,,271.875,0.3449,0.2515,0.3712,0.2019,0.1472,0.2173
,,275,0.3329,0.1772,0.0479,0.1927,0.1026,0.0277
,,278.125,0.3736,0.17,0.3042,0.2138,0.0973,0.1741
,,281.25,0.3736,0.1174,0.2251,0.2114,0.0664,0.1274
,,284.375,0.2251,0.1341,0.1509,0.126,0.0751,0.0845
,,287.5,0.2323,0.0838,0.0671,0.1286,0.0464,0.0371
,,290.625,0.1892,0.0503,0.1198,0.1036,0.0275,0.0656
,,293.75,0.1198,0.1772,0.3209,0.0649,0.096,0.1739
,,296.875,0.2012,0.1269,0.0479,0.1079,0.068,0.0257
,,300,0.1533,0.1078,0.1581,0.0813,0.0572,0.0839
,,303.125,0.1844,0.1389,0.182,0.0968,0.0729,0.0956
,,306.25,0.2898,0.0575,0.1748,0.1506,0.0299,0.0908
,,309.375,0.1748,0.1485,0.1509,0.0899,0.0764,0.0776
,,312.5,0.3353,0.2611,0.3521,0.1708,0.133,0.1793
,,315.625,0.1557,0.1413,0.0527,0.0785,0.0713,0.0266
,,318.75,0.1724,0.0623,0.1078,0.0861,0.0311,0.0538
,,321.875,0.1748,0.1198,0.1198,0.0864,0.0592,0.0592
,,325,0.2084,0.1198,0.0192,0.1021,0.0587,0.0094
,,328.125,0.2299,0.2419,0.2659,0.1115,0.1173,0.129
,,331.25,0.1509,0.0192,0.0527,0.0725,0.0092,0.0253
,,334.375,0.3018,0.1677,0.0599,0.1436,0.0798,0.0285
,,337.5,0.1078,0.1293,0.0575,0.0508,0.061,0.0271
,,340.625,0.1916,0.1437,0.2395,0.0895,0.0671,0.1119
,,343.75,0.1269,0.0335,0.0527,0.0588,0.0155,0.0244
,,346.875,0.0958,0.2036,0.0335,0.044,0.0934,0.0154
,,350,0.2036,0.0886,0.0503,0.0926,0.0403,0.0229
,,353.125,0.2443,0.3497,0.091,0.1101,0.1576,0.041
,,356.25,0.182,0.1389,0.1677,0.0813,0.0621,0.0749
,,359.375,0.0766,0.1581,0.1221,0.0339,0.07,0.0541
,,362.5,0.3066,0.0263,0.1198,0.1346,0.0115,0.0526
,,365.625,0.2203,0.2084,0.1269,0.0959,0.0907,0.0552
,,368.75,0.079,0.115,0.0766,0.0341,0.0496,0.0331
,,371.875,0.2036,0.1748,0.079,0.0871,0.0748,0.0338
,,375,0.103,0.0575,0.3233,0.0437,0.0244,0.1372
,,378.125,0.1988,0.0623,0.1653,0.0837,0.0262,0.0696
,,381.25,0.1605,0.0144,0.1916,0.067,0.006,0.08
,,384.375,0.1964,0.0814,0.206,0.0813,0.0337,0.0853
,,387.5,0.2443,0.0311,0.1964,0.1003,0.0128,0.0807
,,390.625,0.0886,0.1509,0.1245,0.0361,0.0615,0.0507
,,393.75,0.3066,0.0431,0.0479,0.1239,0.0174,0.0194
,,396.875,0.3138,0.1078,0.1485,0.1258,0.0432,0.0596
,,400,0.1317,0.1557,0.0814,0.0524,0.062,0.0324
,,403.125,0.1748,0.1509,0.206,0.069,0.0596,0.0813
,,406.25,0.3784,0.1892,0.2419,0.1482,0.0741,0.0948
,,409.375,0.1557,0.2156,0.115,0.0605,0.0838,0.0447
,,412.5,0.079,0.1174,0.0958,0.0305,0.0453,0.037
,,415.625,0.0982,0.0503,0.3018,0.0376,0.0193,0.1156
,,418.75,0.1772,0.1198,0.1868,0.0673,0.0455,0.071
,,421.875,0.1964,0.1533,0.2371,0.0741,0.0578,0.0894
,,425,0.2347,0.079,0.1724,0.0879,0.0296,0.0646
,,428.125,0.1102,0.0407,0.0575,0.041,0.0151,0.0214
,,431.25,0.1269,0.206,0.0814,0.0468,0.076,0.03
,,434.375,0.0575,0.1964,0.1198,0.0211,0.072,0.0439
,,437.5,0.0479,0.0695,0.0838,0.0174,0.0253,0.0305
,,440.625,0.115,0.1557,0.0742,0.0415,0.0562,0.0268
,,443.75,0.0862,0.206,0.1748,0.0309,0.0739,0.0627
,,446.875,0.297,0.2443,0.1126,0.1058,0.087,0.0401
,,450,0.2467,0.0144,0.1102,0.0873,0.0051,0.039
,,453.125,0.3473,0.115,0.1748,0.122,0.0404,0.0614
,,456.25,0.2299,0.2874,0.1605,0.0802,0.1003,0.056
,,459.375,0.2922,0.2179,0.1724,0.1012,0.0755,0.0597
,,462.5,0.1724,0.3066,0.0934,0.0593,0.1055,0.0321
,,465.625,0.0192,0.0623,0.1677,0.0066,0.0213,0.0573
,,468.75,0.079,0.2036,0.1796,0.0268,0.0691,0.061
,,471.875,0.0862,0.0455,0.2012,0.0291,0.0153,0.0679
,,475,0.103,0.0982,0.2251,0.0345,0.0329,0.0754
,,478.125,0.2132,0.2227,0.1509,0.071,0.0741,0.0502
,,481.25,0.1365,0.115,0.0647,0.0451,0.038,0.0214
,,484.375,0.1485,0.1605,0.1413,0.0488,0.0527,0.0464
,,487.5,0.0431,0.1341,0.1126,0.0141,0.0438,0.0368
,,490.625,0.0982,0.1413,0.1126,0.0319,0.0458,0.0365
,,493.75,0.0814,0.0647,0.1365,0.0262,0.0209,0.044
,,496.875,0.0359,0.0814,0.1557,0.0115,0.0261,0.0499
