mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-04-28T03:10:06.000Z,0,0.2323,NaN,9.9035,Infinity,NaN,Infinity
,,3.125,0.206,NaN,0.2898,10.4915,NaN,14.7594
,,6.25,0.1221,NaN,0.0431,3.1093,NaN,1.0975
,,9.375,0.1413,0.0335,0.3209,2.3988,0.5687,5.4478
,,12.5,0.1772,0.0934,0.2826,2.2562,1.1892,3.5982
,,15.625,0.2874,0.1605,0.3904,2.9274,1.6348,3.9766
,,18.75,0.1341,0.0814,0.079,1.1383,0.6909,0.6706
,,21.875,0.0742,0.1772,0.2299,0.5399,1.2892,1.6727
,,25,0.2347,0.0527,0.4599,1.4941,0.3355,2.9278
,,28.125,0.5652,0.2299,0.6059,3.1984,1.301,3.4287
,,31.25,0.2323,0.1269,0.0695,1.1831,0.6463,0.354
,,34.375,0.2994,0.2922,0.1485,1.3862,1.3529,0.6875
,,37.5,0.6155,0.364,1.3245,2.6123,1.5449,5.6214
,,40.625,2.2154,1.2239,2.6346,8.6792,4.7948,10.3215
,,43.75,0.7784,0.6538,1.0083,2.8317,2.3784,3.668
,,46.875,0.5461,0.0359,0.8359,1.8542,0.1219,2.8381
,,50,0.6754,0.5054,1.7723,2.1499,1.6087,5.6414
,,53.125,1.2694,0.9269,1.4179,3.8029,2.7769,4.2478
,,56.25,0.1653,0.2706,0.2874,0.4677,0.7656,0.8132
,,59.375,0.2299,0.5101,0.2922,0.6162,1.3673,0.7832
,,62.5,0.2012,0.4718,0.7856,0.5124,1.2014,2.0005
,,65.625,0.3185,0.503,0.6802,0.7724,1.2199,1.6496
,,68.75,0.0671,0.1341,0.3377,0.1553,0.3104,0.7818
,,71.875,0.0814,0.115,0.4263,0.1802,0.2546,0.944
,,75,0.1485,0.3521,0.2994,0.3151,0.7472,0.6353
,,78.125,0.2323,0.182,0.3593,0.4732,0.3708,0.732
,,81.25,0.1389,0.3209,0.4407,0.2721,0.6286,0.8633
,,84.375,0.0695,0.1724,0.4263,0.1311,0.3252,0.8041
,,87.5,0.1437,0.6802,0.7928,0.2614,1.2372,1.442
,,90.625,0.7185,0.5772,1.722,1.2618,1.0137,3.0242
,,93.75,0.3425,0.0671,1.0682,0.5814,0.1139,1.8134
,,96.875,0.0982,0.3928,0.2323,0.1613,0.6453,0.3816
,,100,0.1198,0.3473,0.1365,0.1907,0.5527,0.2172
,,103.125,0.3138,0.0359,0.1174,0.4843,0.0554,0.1812
,,106.25,0.1485,0.4886,0.0359,0.2224,0.7319,0.0538
,,109.375,0.2467,0.3138,0.7904,0.359,0.4566,1.1501
,,112.5,0.1389,0.297,0.0695,0.1965,0.4202,0.0983
,,115.625,0.0719,0.2611,0.5988,0.099,0.3594,0.8242
,,118.75,0.4191,0.4407,1.0395,0.5617,0.5906,1.3932
,,121.875,0.0695,0.1916,0.0527,0.0908,0.2502,0.0688
,,125,0.0551,0.2898,0.376,0.0702,0.369,0.4787
,,128.125,0.3209,0.4407,1.1305,0.3986,0.5474,1.4043
,,131.25,0.7377,1.176,3.0034,0.8945,1.426,3.642
,,134.375,0.103,0.2347,0.5868,0.122,0.278,0.695
,,137.5,0.3593,0.4862,0.4838,0.4159,0.5628,0.56
,,140.625,0.1892,0.3593,0.5341,0.2141,0.4066,0.6045
,,143.75,0.764,0.8766,2.3998,0.8459,0.9705,2.657
,,146.875,0.5221,0.9772,1.4131,0.5658,1.0589,1.5312
,,150,0.297,0.3425,0.3161,0.3151,0.3634,0.3354
,,153.125,0.1437,0.3736,0.5221,0.1494,0.3883,0.5427
,,156.25,0.503,0.7497,1.2909,0.5124,0.7636,1.3149
,,159.375,0.2227,0.2874,0.4503,0.2224,0.287,0.4497
