mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-09T00:08:51.000Z,0,0.0216,2.6944,9.7143,Infinity,Infinity,Infinity
,,3.125,0.3521,0.2347,0.2802,17.9323,11.9532,14.2705
,,6.25,0.115,0.0192,0.206,2.9285,0.4889,5.2457
,,9.375,0.2515,0.0551,0.3209,4.2696,0.9354,5.4478
,,12.5,0.2108,0.2754,0.0431,2.684,3.5065,0.5488
,,15.625,0.4718,0.2659,0.4024,4.8057,2.7084,4.0988
,,18.75,0.1341,0.0647,0.2108,1.1383,0.5492,1.7893
,,21.875,0.3425,0.3593,0.1533,2.4919,2.6141,1.1154
,,25,0.2395,0.3209,0.0695,1.5247,2.0429,0.4425
,,28.125,0.7497,0.4024,0.6994,4.2424,2.2771,3.9578
,,31.25,0.0527,0.0527,0.3185,0.2684,0.2684,1.6221
,,34.375,0.3066,0.3042,0.3545,1.4195,1.4084,1.6413
,,37.5,0.6059,0.8574,0.3401,2.5715,3.6389,1.4434
,,40.625,2.6178,1.1113,2.2322,10.2557,4.3537,8.745
,,43.75,0.2682,0.6059,0.3185,0.9757,2.2042,1.1586
,,46.875,0.2203,0.5221,0.3904,0.748,1.7727,1.3255
,,50,0.4263,0.8239,0.479,1.357,2.6226,1.5247
,,53.125,1.8418,0.9149,1.4227,5.5178,2.7409,4.2622
,,56.25,0.1748,0.0982,0.194,0.4946,0.2778,0.5489
,,59.375,0.2539,0.2347,0.2515,0.6806,0.6291,0.6741
,,62.5,0.1102,0.3185,0.1605,0.2806,0.8111,0.4087
,,65.625,0.582,0.0383,0.5317,1.4115,0.0929,1.2895
,,68.75,0.1605,0.4096,0.4311,0.3716,0.9482,0.998
,,71.875,0.1006,0.3353,0.2922,0.2228,0.7425,0.647
,,75,0.0814,0.4048,0.0862,0.1727,0.859,0.1829
,,78.125,0.4024,0.2563,0.3473,0.8198,0.5221,0.7075
,,81.25,0.3521,0.8838,0.7137,0.6897,1.7312,1.398
,,84.375,0.1485,0.3018,0.5652,0.2801,0.5693,1.0661
,,87.5,0.0886,0.5652,0.4862,0.1612,1.028,0.8844
,,90.625,0.1581,1.1832,0.6083,0.2777,2.0779,1.0683
,,93.75,0.8359,3.8632,1.5616,1.4191,6.5584,2.6511
,,96.875,0.1796,0.309,0.388,0.2951,0.5077,0.6374
,,100,0.182,0.1916,0.5365,0.2897,0.3049,0.8539
,,103.125,0.1557,0.0623,0.2635,0.2403,0.0961,0.4067
,,106.25,0.0527,1.0466,0.0838,0.0789,1.5677,0.1255
,,109.375,0.182,0.2251,0.1365,0.2648,0.3275,0.1986
,,112.5,0.2371,0.5149,0.3664,0.3354,0.7284,0.5183
,,115.625,0.5054,0.4527,0.6898,0.6957,0.6231,0.9495
,,118.75,0.4096,0.3305,0.7425,0.549,0.443,0.9951
,,121.875,0.1796,0.3114,0.6083,0.2345,0.4067,0.7944
,,125,0.3497,0.6059,0.6754,0.4453,0.7715,0.8599
,,128.125,0.3664,0.3401,0.5245,0.4551,0.4225,0.6515
,,131.25,0.6538,0.491,1.2478,0.7928,0.5954,1.5131
,,134.375,1.0514,0.4096,3.025,1.2453,0.4851,3.5828
,,137.5,0.6634,0.5628,0.8598,0.7679,0.6514,0.9952
,,140.625,0.3497,0.4096,0.8119,0.3958,0.4636,0.9189
,,143.75,0.5078,0.4862,1.0395,0.5622,0.5383,1.1509
,,146.875,0.3593,0.364,0.7018,0.3893,0.3944,0.7605
,,150,0.309,0.2108,0.17,0.3279,0.2237,0.1804
,,153.125,0.4263,0.1868,0.7065,0.4431,0.1942,0.7343
,,156.25,0.364,0.309,0.4455,0.3708,0.3147,0.4538
,,159.375,0.2874,0.4479,0.309,0.287,0.4473,0.3086
,,162.5,0.2108,0.273,0.0503,0.2065,0.2674,0.0493
,,165.625,0.4167,0.6347,0.182,0.4004,0.6099,0.1749
,,168.75,0.2084,0.182,0.0958,0.1966,0.1717,0.0904
,,171.875,0.3377,0.4024,0.3784,0.3127,0.3726,0.3504
,,175,0.3569,0.5101,0.4335,0.3246,0.4639,0.3942
,,178.125,0.3593,0.1126,0.3305,0.321,0.1006,0.2953
,,181.25,0.2946,0.2419,0.1964,0.2587,0.2124,0.1725
,,184.375,0.9101,0.6107,0.503,0.7856,0.5272,0.4342
,,187.5,1.0059,0.8287,0.6347,0.8538,0.7034,0.5388
,,190.625,0.3593,0.115,0.0551,0.3,0.096,0.046
,,193.75,0.5341,0.3401,0.0479,0.4387,0.2794,0.0393
,,196.875,0.2275,0.2132,0.1078,0.1839,0.1724,0.0871
,,200,0.5413,0.4191,0.1916,0.4308,0.3335,0.1525
,,203.125,0.2778,0.2227,0.0886,0.2177,0.1745,0.0694
,,206.25,0.3593,0.2132,0.1389,0.2773,0.1645,0.1072
,,209.375,0.479,0.3545,0.2395,0.3641,0.2695,0.1821
,,212.5,0.388,0.2419,0.0671,0.2906,0.1812,0.0503
,,215.625,0.2587,0.1605,0.0742,0.1909,0.1185,0.0548
,,218.75,0.3832,0.1317,0.2395,0.2788,0.0958,0.1743
