mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000005,2022-05-07T04:17:18.000Z,0,0.4359,4.0045,NaN,Infinity,Infinity,NaN
,,3.125,0.1198,0.2347,NaN,6.1014,11.9532,NaN
,,6.25,0.1102,0.0551,NaN,2.8062,1.4031,NaN
,,9.375,0.1198,0.1964,NaN,2.0338,3.3342,NaN
,,12.5,0.0647,0.0527,NaN,0.8238,0.671,NaN
,,15.625,0.1988,0.3832,NaN,2.025,3.9032,NaN
,,18.75,0.1581,0.0575,NaN,1.342,0.4881,NaN
,,21.875,0.1174,0.2227,0,0.8542,1.6203,0
,,25,0.1102,0.1317,0.091,0.7016,0.8384,0.5793
,,28.125,0.3976,0.6754,0.2898,2.25,3.822,1.6399
,,31.25,NaN,0.0311,0.0934,NaN,0.1584,0.4757
,,34.375,NaN,0.0383,0.2347,NaN,0.1773,1.0867
,,37.5,NaN,0.1916,0.1245,NaN,0.8132,0.5284
,,40.625,NaN,2.1364,1.0538,NaN,8.3697,4.1284
,,43.75,NaN,NaN,0.4718,NaN,NaN,1.7163
,,46.875,NaN,NaN,0.3808,NaN,NaN,1.2929
,,50,NaN,NaN,0.309,NaN,NaN,0.9836
,,53.125,NaN,NaN,0.9173,NaN,NaN,2.7481
,,56.25,NaN,NaN,0.0431,NaN,NaN,0.1219
,,59.375,NaN,NaN,0.1006,NaN,NaN,0.2697
,,62.5,NaN,NaN,0.0575,NaN,NaN,0.1464
,,65.625,0,NaN,0.2347,0,NaN,0.5692
,,68.75,0.2179,NaN,0.0934,0.5044,NaN,0.2162
,,71.875,0.182,NaN,0.1796,0.403,NaN,0.3977
,,75,0.1389,NaN,0.1006,0.2948,NaN,0.2135
,,78.125,0.5173,NaN,0.2371,1.0538,NaN,0.483
,,81.25,0.3209,NaN,0.0383,0.6286,NaN,0.075
,,84.375,0.4335,NaN,0.3593,0.8177,NaN,0.6777
,,87.5,0.2922,NaN,0.1485,0.5315,NaN,0.2701
,,90.625,0.594,NaN,0.2156,1.0432,NaN,0.3786
,,93.75,0.6299,NaN,0.2898,1.0694,NaN,0.492
,,96.875,1.8131,NaN,1.073,2.9787,NaN,1.7628
,,100,0.2922,NaN,0.1844,0.4651,NaN,0.2935
,,103.125,0.2443,NaN,0.0527,0.377,NaN,0.0813
,,106.25,0.2994,NaN,0.17,0.4485,NaN,0.2546
,,109.375,0.8886,NaN,0.4622,1.293,NaN,0.6726
,,112.5,0.3233,NaN,0.1844,0.4574,NaN,0.2609
,,115.625,0.2635,0,0.1677,0.3627,0,0.2308
,,118.75,0.2347,0.0359,0.2108,0.3146,0.0481,0.2825
,,121.875,0.1629,0.1988,0.0934,0.2127,0.2596,0.122
,,125,0.57,0.0934,0.5341,0.7257,0.1189,0.68
,,128.125,0.2395,0.1868,0.2012,0.2975,0.232,0.2499
,,131.25,0.1557,0.012,0.1293,0.1888,0.0146,0.1568
,,134.375,0.4862,0.194,0.4622,0.5759,0.2298,0.5474
,,137.5,1.1281,0.6491,0.8431,1.3058,0.7513,0.9759
,,140.625,0.2179,0.2275,0.1677,0.2466,0.2575,0.1898
,,143.75,0.2587,0.0814,0.0958,0.2864,0.0901,0.1061
,,146.875,0.3233,0.1174,0.2203,0.3503,0.1272,0.2387
,,150,0.388,0.3185,0.2659,0.4117,0.3379,0.2821
,,153.125,0.1365,0.2563,0.182,0.1419,0.2664,0.1892
,,156.25,0.4575,0.1964,0.2156,0.466,0.2001,0.2196
,,159.375,0.7137,0.1724,0.3281,0.7127,0.1722,0.3276
,,162.5,0.2179,0.0814,0.103,0.2134,0.0797,0.1009
,,165.625,0.6515,0.2635,NaN,0.626,0.2532,NaN
,,168.75,0.2203,0.0934,NaN,0.2078,0.0881,NaN
,,171.875,0.1988,0.3161,NaN,0.1841,0.2927,NaN
,,175,0.2491,0.1461,NaN,0.2265,0.1329,NaN
,,178.125,0.5628,0.2371,NaN,0.5029,0.2118,NaN
,,181.25,1.6406,0.1653,NaN,1.4406,0.1451,NaN
,,184.375,0.9556,0.1389,NaN,0.8249,0.1199,NaN
,,187.5,0.7784,NaN,NaN,0.6607,NaN,NaN
,,190.625,0.8574,NaN,NaN,0.7159,NaN,NaN
,,193.75,0.7856,NaN,NaN,0.6453,NaN,NaN
,,196.875,0.1102,NaN,NaN,0.0891,NaN,NaN
,,200,0.479,NaN,NaN,0.3812,NaN,NaN
,,203.125,0.1892,NaN,0.0719,0.1482,NaN,0.0563
,,206.25,0.7616,NaN,0.2347,0.5877,NaN,0.1811
,,209.375,NaN,NaN,0.012,NaN,NaN,0.0091
,,212.5,NaN,NaN,0.0551,NaN,NaN,0.0413
,,215.625,NaN,NaN,0.0407,NaN,NaN,0.03
,,218.75,NaN,NaN,0.0551,NaN,NaN,0.0401
,,221.875,NaN,NaN,0.0335,NaN,NaN,0.024
,,225,NaN,NaN,0.0503,NaN,NaN,0.0356
,,228.125,NaN,NaN,0.0575,NaN,NaN,0.0401
,,231.25,NaN,NaN,0.0934,NaN,NaN,0.0643
,,234.375,NaN,NaN,0.1198,NaN,NaN,0.0814
,,237.5,NaN,NaN,NaN,NaN,NaN,NaN
,,240.625,NaN,NaN,NaN,NaN,NaN,NaN
,,243.75,NaN,NaN,NaN,NaN,NaN,NaN
,,246.875,NaN,NaN,NaN,NaN,NaN,NaN
,,250,NaN,NaN,NaN,NaN,NaN,NaN
,,253.125,NaN,NaN,NaN,NaN,NaN,NaN
,,256.25,NaN,NaN,NaN,NaN,NaN,NaN
,,259.375,NaN,NaN,NaN,NaN,NaN,NaN
,,262.5,NaN,NaN,NaN,NaN,NaN,NaN
,,265.625,NaN,NaN,NaN,NaN,NaN,NaN
,,268.75,NaN,NaN,NaN,NaN,NaN,NaN
,,271.875,NaN,NaN,NaN,NaN,NaN,NaN
,,275,NaN,NaN,NaN,NaN,NaN,NaN
,,278.125,NaN,NaN,NaN,NaN,NaN,NaN
,,281.25,0,NaN,NaN,0,NaN,NaN
,,284.375,0.2347,NaN,NaN,0.1314,NaN,NaN
,,287.5,0.0695,NaN,NaN,0.0385,NaN,NaN
,,290.625,0.103,NaN,NaN,0.0564,NaN,NaN
,,293.75,0.2754,NaN,NaN,0.1492,NaN,NaN
,,296.875,0.1964,0.2826,NaN,0.1053,0.1515,NaN
,,300,0.1293,0.2922,NaN,0.0686,0.155,NaN
,,303.125,0.3377,0.1437,NaN,0.1773,0.0754,NaN
,,306.25,0.0958,0.0623,NaN,0.0498,0.0324,NaN
,,309.375,0.3784,0.4239,0,0.1947,0.2181,0
,,312.5,0.3904,0.4096,0.2682,0.1988,0.2086,0.1366
,,315.625,0.1796,0.1892,0.0527,0.0906,0.0954,0.0266
,,318.75,0.1557,0.0766,0.115,0.0777,0.0382,0.0574
