mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000003,2022-05-07T08:51:18.000Z,0,0.1964,10.0856,1.5879,Infinity,Infinity,Infinity
,,1.5625,0.0719,0.0575,0.0599,7.3237,5.8569,6.1014
,,3.125,0.0168,0.0072,0.0527,0.8556,0.3667,2.684
,,4.6875,0.0671,0.0479,0.0431,2.2782,1.6264,1.4634
,,6.25,0.0383,0.0144,0.0263,0.9753,0.3667,0.6697
,,7.8125,0.0934,0.0527,0.091,1.9027,1.0736,1.8538
,,9.375,0.0263,0.0168,0.0527,0.4465,0.2852,0.8947
,,10.9375,0.091,0.0551,0.0479,1.3242,0.8018,0.697
,,12.5,0.0263,0.0072,0.024,0.3349,0.0917,0.3056
,,14.0625,0.115,0.0766,0.0647,1.3015,0.8669,0.7323
,,15.625,0.0551,0.0551,0.0623,0.5612,0.5612,0.6346
,,17.1875,0.0527,0.0216,0.1174,0.488,0.2,1.0871
,,18.75,0.024,0.0335,0.0527,0.2037,0.2844,0.4473
,,20.3125,0.091,0.0311,0.103,0.713,0.2437,0.807
,,21.875,0.0982,NaN,0.0168,0.7145,NaN,0.1222
,,23.4375,0.0623,NaN,0.0263,0.4231,NaN,0.1786
,,25,0.0359,NaN,0.0886,0.2285,NaN,0.564
,,26.5625,0.1772,NaN,0.1557,1.0617,NaN,0.9329
,,28.125,0.1437,NaN,0.2802,0.8132,NaN,1.5856
,,29.6875,0.0503,NaN,0.1054,0.2697,NaN,0.5651
,,31.25,0.091,NaN,0.1365,0.4635,NaN,0.6952
,,32.8125,0.2874,NaN,0.4599,1.394,NaN,2.2307
,,34.375,0.0359,NaN,0.1629,0.1662,NaN,0.7542
,,35.9375,0.0766,NaN,0.0719,0.3392,NaN,0.3184
,,37.5,0.0551,NaN,0.0383,0.2339,NaN,0.1626
,,39.0625,0.079,NaN,0.0886,0.3219,NaN,0.361
,,40.625,0.0527,0.0838,0.0431,0.2065,0.3283,0.1689
,,42.1875,0.0599,0.0144,0.0671,0.226,0.0543,0.2531
,,43.75,0.0479,0.0335,0.0359,0.1743,0.1219,0.1306
,,45.3125,0.103,0.0407,0.0814,0.3618,0.143,0.2859
,,46.875,0.0192,0.0144,0.0263,0.0652,0.0489,0.0893
,,48.4375,0.0072,0.012,0.0144,0.0237,0.0394,0.0473
,,50,0.0647,0.0072,0.0168,0.2059,0.0229,0.0535
,,51.5625,0.0934,0.0359,0.0838,0.2883,0.1108,0.2587
,,53.125,0.115,0.0431,0.1677,0.3445,0.1291,0.5024
,,54.6875,0.0287,0.0383,0.0383,0.0835,0.1115,0.1115
,,56.25,0.0719,0.0335,0.0168,0.2034,0.0948,0.0475
,,57.8125,0.0766,0.0072,0.103,0.2109,0.0198,0.2836
,,59.375,0.1317,0.1533,0.1389,0.353,0.4109,0.3723
,,60.9375,0.1437,0.2539,0.024,0.3753,0.6631,0.0627
,,62.5,0.0168,0.1174,0.0335,0.0428,0.299,0.0853
,,64.0625,0.0335,0.0671,0.0958,0.0832,0.1667,0.238
,,65.625,0.1126,0.2179,0.0287,0.2731,0.5285,0.0696
,,67.1875,0.0814,0.1365,0.0335,0.1928,0.3233,0.0794
,,68.75,0.0719,0.0862,0.0407,0.1664,0.1996,0.0942
,,70.3125,0.0719,0.0216,0.024,0.1627,0.0489,0.0543
,,71.875,0.0263,0.0551,0.0168,0.0582,0.122,0.0372
,,73.4375,0.0527,0.0335,0.0263,0.1142,0.0726,0.057
,,75,0.0527,0.0192,0.0072,0.1118,0.0407,0.0153
,,76.5625,0.2515,0.1293,0.0623,0.5228,0.2688,0.1295
,,78.125,0.0383,0.0431,0.0263,0.078,0.0878,0.0536
,,79.6875,0.0503,0.0311,0.0263,0.1005,0.0621,0.0525
,,81.25,0.0527,0.0431,0,0.1032,0.0844,0
,,82.8125,0.0263,0.0359,NaN,0.0505,0.069,NaN
,,84.375,0.0407,0.0599,NaN,0.0768,0.113,NaN
,,85.9375,0.1269,0.0383,NaN,0.235,0.0709,NaN
,,87.5,NaN,0.0503,NaN,NaN,0.0915,NaN
,,89.0625,NaN,0.0072,NaN,NaN,0.0129,NaN
,,90.625,NaN,0.0335,NaN,NaN,0.0588,NaN
,,92.1875,NaN,0.0048,NaN,NaN,0.0083,NaN
,,93.75,NaN,0.0527,NaN,NaN,0.0895,NaN
,,95.3125,NaN,0,NaN,NaN,0,NaN
,,96.875,NaN,0.0287,NaN,NaN,0.0472,NaN
,,98.4375,NaN,0,NaN,NaN,0,NaN
,,100,NaN,0.0144,NaN,NaN,0.0229,NaN
,,101.5625,NaN,0.012,0.024,NaN,0.0188,0.0376
,,103.125,NaN,0.0192,0.0479,NaN,0.0296,0.0739
,,104.6875,0,0.0144,0.012,0,0.0219,0.0182
,,106.25,0.0503,0.0263,0.0072,0.0753,0.0394,0.0108
,,107.8125,0.0431,0.024,0.0335,0.0636,0.0354,0.0495
,,109.375,0.2778,0.012,0.1006,0.4042,0.0175,0.1464
,,110.9375,0.0216,0.024,0.024,0.031,0.0344,0.0344
,,112.5,0.0072,0.0072,0.0072,0.0102,0.0102,0.0102
,,114.0625,0.0335,0.012,0.024,0.0467,0.0167,0.0335
,,115.625,0.8119,0.0144,0.3209,1.1176,0.0198,0.4417
,,117.1875,0.0431,0.0144,0.0048,0.0585,0.0196,0.0065
,,118.75,0.0551,0.0072,NaN,0.0738,0.0096,NaN
,,120.3125,0.103,0.0144,NaN,0.1363,0.019,NaN
,,121.875,1.0227,0.1006,NaN,1.3355,0.1314,NaN
,,123.4375,0.1485,0.012,NaN,0.1915,0.0155,NaN
,,125,0.0719,0.0287,NaN,0.0915,0.0365,NaN
,,126.5625,0.2156,0.0742,NaN,0.2711,0.0933,NaN
,,128.125,0.2563,0.0311,NaN,0.3184,0.0386,NaN
,,129.6875,0.0719,0.0431,NaN,0.0882,0.0529,NaN
,,131.25,0.0647,0.024,NaN,0.0785,0.0291,NaN
,,132.8125,0.0575,0.1102,NaN,0.0689,0.1321,NaN
,,134.375,0.1653,0.0144,NaN,0.1958,0.0171,NaN
,,135.9375,0.0623,0.0407,NaN,0.0729,0.0477,NaN
