mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000009,2022-04-28T05:05:52.000Z,0,0.1557,0.5868,9.9323,Infinity,Infinity,Infinity
,,3.125,0.2275,0.4359,0.0287,11.5865,22.2002,1.4617
,,6.25,0.0383,0.0719,0.0527,0.9753,1.8309,1.342
,,9.375,0.2156,0.3281,0.0958,3.6601,5.57,1.6264
,,12.5,0.1198,0.6802,0.2371,1.5253,8.6606,3.0189
,,15.625,0.2563,0.7688,0.1581,2.6107,7.8309,1.6104
,,18.75,0.0144,0.1293,0.0742,0.1222,1.0975,0.6298
,,21.875,0.1988,0.2347,NaN,1.4464,1.7076,NaN
,,25,0.2179,0.9508,NaN,1.3872,6.053,NaN
,,28.125,0.4503,1.3628,NaN,2.5482,7.7119,NaN
,,31.25,0.079,0.273,NaN,0.4023,1.3904,NaN
,,34.375,0.3784,0.9484,NaN,1.752,4.3911,NaN
,,37.5,0.6898,2.1579,NaN,2.9276,9.1584,NaN
,,40.625,1.6885,5.7649,NaN,6.615,22.5849,NaN
,,43.75,0.5365,1.6957,NaN,1.9517,6.1687,NaN
,,46.875,0.6491,2.0861,NaN,2.2039,7.0829,NaN
,,50,1.0203,2.6681,NaN,3.2477,8.4928,NaN
,,53.125,0.9484,3.4273,NaN,2.8413,10.2677,NaN
,,56.25,0.1006,0.3976,NaN,0.2846,1.125,NaN
,,59.375,0.1413,0.4838,0.1317,0.3788,1.2968,0.353
,,62.5,0.3209,0.7161,0.17,0.8172,1.8235,0.4329
,,65.625,0.3425,1.5688,0.2802,0.8306,3.8047,0.6795
,,68.75,0.0527,0.2946,0.0527,0.122,0.682,0.122
,,71.875,0.0575,0.3114,0.1892,0.1273,0.6895,0.419
,,75,0.194,0.2563,0.1581,0.4117,0.5439,0.3355
,,78.125,0.2587,1.2766,0.1724,0.527,2.6007,0.3512
,,81.25,0.1964,0.4048,0.1868,0.3847,0.7929,0.3659
,,84.375,0.0766,0.2754,0.0527,0.1445,0.5195,0.0994
