mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000006,2022-04-21T03:43:26.000Z,0,0.6036,0.7401,10.1454,Infinity,Infinity,Infinity
,,1.5625,0.1413,0.0719,0.0287,14.3927,7.3237,2.9234
,,3.125,0.115,0.0479,0.0814,5.8569,2.4395,4.1457
,,4.6875,0.0766,0.194,0.0479,2.6008,6.5869,1.6264
,,6.25,0.0719,0.297,0.1533,1.8309,7.563,3.9038
,,7.8125,0.1868,1.1975,0.3712,3.8055,24.3953,7.562
,,9.375,0.0479,0.4215,0.0766,0.8132,7.1556,1.3004
,,10.9375,0.1413,0.1772,0.1078,2.0561,2.5785,1.5686
,,12.5,0.0503,0.2132,0.0862,0.6404,2.7145,1.0975
,,14.0625,0.115,0.2898,0.1269,1.3015,3.2799,1.4362
,,15.625,0.4694,0.582,0.3928,4.7813,5.9282,4.001
,,17.1875,0.2946,0.5101,0.3114,2.728,4.7235,2.8835
,,18.75,0.17,0.1198,0.5844,1.443,1.0169,4.9605
,,20.3125,0.103,0.0431,0.0958,0.807,0.3377,0.7506
,,21.875,0.2251,0.1413,0.2036,1.6377,1.028,1.4813
,,23.4375,0.1605,0.0982,0.6658,1.0899,0.6668,4.5212
,,25,0.2419,0.2299,0.9005,1.54,1.4636,5.7328
,,26.5625,0.2922,0.182,0.4694,1.7508,1.0905,2.8125
,,28.125,0.2563,0.1916,0.1054,1.4504,1.0842,0.5964
,,29.6875,0.0647,0.0575,0.1413,0.3469,0.3083,0.7575
,,31.25,0.0958,0.1102,0.3856,0.4879,0.5612,1.9638
,,32.8125,0.3784,0.1509,0.4742,1.8354,0.7319,2.3001
,,34.375,0.6323,0.4814,0.1892,2.9275,2.2289,0.876
,,35.9375,0.1988,0.0958,0.2132,0.8804,0.4243,0.9442
,,37.5,0.1413,0.0359,0.1844,0.5997,0.1524,0.7826
,,39.0625,0.388,0.115,0.115,1.5809,0.4686,0.4686
,,40.625,0.7401,0.491,0.3114,2.8995,1.9236,1.22
,,42.1875,0.103,0.0479,0.2778,0.3886,0.1807,1.048
,,43.75,0.1988,0.1509,0.3449,0.7232,0.5489,1.2547
,,45.3125,0.2754,0.0335,0.1174,0.9673,0.1177,0.4124
,,46.875,0.1988,0.0814,0.2108,0.675,0.2764,0.7157
,,48.4375,0.3521,0.1485,0.2491,1.1569,0.4879,0.8185
,,50,0.3473,0.2012,0.0647,1.1055,0.6404,0.2059
,,51.5625,1.0275,0.4359,0.0886,3.1715,1.3455,0.2735
,,53.125,0.5054,0.273,0.1269,1.5141,0.8179,0.3802
,,54.6875,0.3473,0.1054,0.0862,1.0107,0.3067,0.2509
,,56.25,0.5078,0.2251,0.0862,1.4368,0.6369,0.2439
,,57.8125,0.2467,0.1796,0.1174,0.6792,0.4944,0.3232
,,59.375,0.5054,0.3904,0.4287,1.3547,1.0465,1.1491
,,60.9375,0.2587,0.0335,0.1198,0.6757,0.0875,0.3129
,,62.5,0.1892,0.1341,0.1653,0.4818,0.3415,0.4209
,,64.0625,0.012,0.0527,0.0527,0.0298,0.1309,0.1309
,,65.625,0.1437,0.0958,0.0647,0.3485,0.2323,0.1569
,,67.1875,1.4945,0.4119,0.364,3.5402,0.9757,0.8622
,,68.75,0.3928,0.2203,0.0886,0.9093,0.51,0.2051
,,70.3125,0.2299,0.0527,0.0934,0.5204,0.1193,0.2114
,,71.875,0.0647,0.0048,0.0719,0.1433,0.0106,0.1592
,,73.4375,0.4982,0.2922,0.0766,1.0797,0.6333,0.166
,,75,1.0897,0.764,0.388,2.3124,1.6213,0.8234
,,76.5625,0.3856,0.3688,0.1126,0.8016,0.7666,0.2341
,,78.125,0.2443,0.2802,0.0982,0.4977,0.5708,0.2001
,,79.6875,0.2802,0.1006,0.1006,0.5596,0.2009,0.2009
,,81.25,0.1772,0.1389,0.1509,0.3471,0.2721,0.2956
,,82.8125,0.9628,0.3185,0.0479,1.8504,0.6121,0.0921
,,84.375,1.14,0.3401,0.1006,2.1504,0.6415,0.1898
,,85.9375,0.6994,0.5485,0.0766,1.2953,1.0158,0.1419
,,87.5,0.5317,0.3377,0.0575,0.9671,0.6142,0.1046
,,89.0625,0.5173,0.3497,0.079,0.9244,0.6249,0.1412
,,90.625,0.6083,0.7664,0.1198,1.0683,1.3459,0.2104
,,92.1875,1.7987,1.9879,0.2922,3.1053,3.432,0.5045
,,93.75,0.4287,0.4934,0.182,0.7278,0.8376,0.309
,,95.3125,0.115,0.1724,0.0072,0.192,0.2879,0.012
,,96.875,0.2946,0.0958,0.0551,0.484,0.1574,0.0905
,,98.4375,0.2443,0.3856,0.0599,0.395,0.6234,0.0968
,,100,0.9269,0.3664,0.3497,1.4752,0.5831,0.5566
,,101.5625,0.1629,0.1341,0.0862,0.2553,0.2101,0.1351
,,103.125,0.2802,0.1198,0.0527,0.4324,0.1849,0.0813
,,104.6875,0.2395,0.4287,0.012,0.3641,0.6517,0.0182
,,106.25,0.1964,0.2491,0.0168,0.2942,0.3731,0.0252
,,107.8125,0.2443,0.982,0.2515,0.3606,1.4496,0.3713
,,109.375,0.4766,0.1461,0.079,0.6935,0.2126,0.115
,,110.9375,0.4455,0.1317,0.0383,0.6391,0.1889,0.0549
,,112.5,0.6299,0.2635,0.0479,0.8911,0.3728,0.0678
,,114.0625,0.4718,0.4167,0.0647,0.6583,0.5814,0.0903
,,115.625,1.0107,0.1844,0.0862,1.3912,0.2538,0.1187
,,117.1875,0.855,0.2419,0.0623,1.1612,0.3285,0.0846
,,118.75,0.8287,0.297,0.1485,1.1107,0.3981,0.199
,,120.3125,0.4886,0.4575,0.091,0.6463,0.6052,0.1204
,,121.875,0.6419,0.1772,0.024,0.8382,0.2314,0.0313
,,123.4375,0.57,0.3521,0.1054,0.7349,0.454,0.1359
,,125,0.8191,0.1724,0.1006,1.0429,0.2195,0.1281
,,126.5625,0.788,0.8167,0.1677,0.9909,1.027,0.2109
,,128.125,0.388,0.4359,0.0599,0.482,0.5415,0.0744
,,129.6875,0.4215,0.2898,0.0599,0.5173,0.3556,0.0735
,,131.25,0.182,0.1581,0.0647,0.2207,0.1917,0.0785
,,132.8125,0.5101,0.0335,0.1581,0.6113,0.0401,0.1895
,,134.375,0.5173,0.9532,0.182,0.6127,1.129,0.2156
,,135.9375,0.3928,0.3497,0.0431,0.4599,0.4094,0.0505
,,137.5,0.2084,0.0359,0.0623,0.2412,0.0416,0.0721
,,139.0625,0.103,0.2563,0.1413,0.1179,0.2933,0.1617
,,140.625,0.1796,0.4934,0.0431,0.2033,0.5584,0.0488
,,142.1875,1.1233,0.661,0.3449,1.2573,0.7399,0.3861
,,143.75,0.7161,0.4551,0.1677,0.7928,0.5039,0.1857
,,145.3125,0.4335,0.115,0.0431,0.4748,0.126,0.0472
,,146.875,0.3185,0.0862,0.115,0.3451,0.0934,0.1246
,,148.4375,0.4742,NaN,0.0958,0.5084,NaN,0.1027
,,150,0.4024,NaN,0.1174,0.427,NaN,0.1246
,,151.5625,0.6179,NaN,0.1126,0.6489,NaN,0.1182
,,153.125,0.3018,NaN,0.0814,0.3137,NaN,0.0846
,,154.6875,0.273,NaN,0.0766,0.2809,NaN,0.0788
,,156.25,0.1365,NaN,0.0814,0.139,NaN,0.0829
,,157.8125,0.0719,NaN,0.1461,0.0725,NaN,0.1473
,,159.375,NaN,NaN,0.4072,NaN,NaN,0.4066
,,160.9375,NaN,NaN,0.0575,NaN,NaN,0.0569
,,162.5,NaN,NaN,0.0527,NaN,NaN,0.0516
,,164.0625,NaN,NaN,0.0048,NaN,NaN,0.0047
,,165.625,NaN,0,0.079,NaN,0,0.0759
,,167.1875,NaN,0.8167,0.182,NaN,0.7775,0.1733
,,168.75,NaN,0.1365,0.0431,NaN,0.1287,0.0406
,,170.3125,NaN,0.2874,0.0838,NaN,0.2686,0.0783
,,171.875,NaN,0.273,0.1293,NaN,0.2528,0.1197
,,173.4375,NaN,0.3617,0.0814,NaN,0.3319,0.0747
,,175,NaN,1.1832,0.3257,NaN,1.0761,0.2962
,,176.5625,0,0.1988,0.1509,0,0.1792,0.136
,,178.125,0.1964,0.1413,0.1389,0.1755,0.1263,0.1241
,,179.6875,0.5772,0.2395,0.1677,0.5112,0.2121,0.1485
,,181.25,0.4239,0.1916,0.2515,0.3722,0.1682,0.2208
,,182.8125,0.6059,0.0072,0.3209,0.5275,0.0063,0.2794
,,184.375,0.5101,0.0192,0.2108,0.4403,0.0166,0.182
,,185.9375,0.4479,0.7089,0.1461,0.3834,0.6068,0.1251
,,187.5,0.4048,0.5844,0.2275,0.3436,0.4961,0.1931
,,189.0625,0.3688,0.3736,0.0742,0.3105,0.3145,0.0625
,,190.625,0.1964,0.6802,0.0216,0.164,0.5679,0.018
,,192.1875,0.6012,0.8478,0.0359,0.4979,0.7021,0.0297
,,193.75,0.3976,0.6706,0.3784,0.3266,0.5509,0.3108
,,195.3125,0.4479,0.3449,0.1293,0.365,0.281,0.1054
,,196.875,0.1198,0.3114,0.0671,0.0968,0.2517,0.0542
,,198.4375,0.103,0.1006,0.0695,0.0826,0.0807,0.0557
,,200,0.4024,0.6443,0.3545,0.3202,0.5127,0.2821
,,201.5625,0.9077,0.7568,0.1581,0.7167,0.5976,0.1248
,,203.125,0.1509,0.2251,0.0814,0.1182,0.1764,0.0638
,,204.6875,0.4527,0.3281,0.0168,0.352,0.2551,0.0131
,,206.25,0.5748,0.3545,0.0695,0.4436,0.2736,0.0536
,,207.8125,0.582,0.6754,0.1389,0.4457,0.5173,0.1064
,,209.375,0.6706,1.1927,0.1341,0.5098,0.9066,0.1019
,,210.9375,0.4958,0.7904,0.17,0.3741,0.5964,0.1283
,,212.5,0.6107,0.6155,0.1461,0.4574,0.461,0.1094
,,214.0625,0.6299,0.6107,0.0958,0.4683,0.4541,0.0712
,,215.625,0.4191,0.7065,0.2395,0.3093,0.5215,0.1768
,,217.1875,0.5054,0.7568,0.0216,0.3704,0.5546,0.0158
,,218.75,1.1664,1.0083,0.0431,0.8486,0.7336,0.0314
,,220.3125,1.0107,0.891,0.0192,0.7301,0.6437,0.0139
,,221.875,0.4551,0.4551,0.1006,0.3265,0.3265,0.0722
,,223.4375,0.3018,0.1581,0.0455,0.215,0.1126,0.0324
,,225,0.2203,0.5078,0.091,0.1558,0.3592,0.0644
,,226.5625,2.2681,2.2154,0.1509,1.5933,1.5563,0.106
,,228.125,0.8047,0.57,0.0695,0.5614,0.3977,0.0485
,,229.6875,0.4455,0.2826,0.0479,0.3087,0.1958,0.0332
,,231.25,0.479,0.4,0.0551,0.3297,0.2753,0.0379
,,232.8125,0.3209,0.2299,0.0599,0.2194,0.1572,0.0409
,,234.375,2.3352,1.6694,0.1293,1.5857,1.1336,0.0878
,,235.9375,0.4239,0.3042,0.024,0.2859,0.2052,0.0162
,,237.5,0.4862,0.1772,0.0695,0.3258,0.1187,0.0466
,,239.0625,0.6012,0.2611,0.0455,0.4002,0.1738,0.0303
,,240.625,0.8431,0.1868,0.0838,0.5576,0.1236,0.0554
,,242.1875,2.2537,0.5964,0.0742,1.481,0.3919,0.0488
,,243.75,0.4239,0.1317,0.0575,0.2768,0.086,0.0375
,,245.3125,0.5269,0.206,0.0719,0.3418,0.1336,0.0466
,,246.875,0.6754,0.3688,0.0287,0.4354,0.2378,0.0185
,,248.4375,0.8886,0.4934,0.0479,0.5693,0.3161,0.0307
,,250,1.437,0.9892,0.1126,0.9148,0.6297,0.0717
,,251.5625,1.3796,0.9077,0.0934,0.8728,0.5743,0.0591
,,253.125,0.5748,0.2826,0.1006,0.3614,0.1777,0.0633
,,254.6875,0.8383,0.3593,0.0335,0.5239,0.2245,0.0209
,,256.25,0.4191,0.1389,0.0551,0.2603,0.0863,0.0342
,,257.8125,0.3976,0.3784,0.0551,0.2454,0.2336,0.034
,,259.375,1.3077,0.479,0.0575,0.8024,0.2939,0.0353
,,260.9375,0.5628,0.4263,0.0144,0.3433,0.26,0.0088
,,262.5,0.4527,0.2419,0.0359,0.2745,0.1467,0.0218
,,264.0625,0.2802,0.2371,0.0144,0.1689,0.1429,0.0087
,,265.625,0.6538,0.1533,0.0551,0.3917,0.0919,0.033
,,267.1875,1.7029,0.9221,0.0647,1.0144,0.5493,0.0385
,,268.75,0.4479,0.2826,0.1102,0.2652,0.1674,0.0653
,,270.3125,0.3473,0.2132,0.0431,0.2045,0.1255,0.0254
,,271.875,0.6658,0.1078,0.0862,0.3898,0.0631,0.0505
,,273.4375,0.7976,0.4383,0.0814,0.4642,0.2551,0.0474
,,275,0.9916,0.4,0.1581,0.5739,0.2315,0.0915
