X,Y,Z
1,3.125,0.079
1,6.25,0.0144
1,9.375,0.1006
1,12.5,0.1365
1,15.625,0.1868
1,18.75,0.4167
1,21.875,0.2443
1,25,0.079
1,28.125,0.1269
1,31.25,0.0862
1,34.375,0.1557
1,37.5,0.1485
1,40.625,0.182
1,43.75,0.273
1,46.875,0.1341
1,50,0.2108
1,53.125,0.1006
1,56.25,0.1796
1,59.375,0.3257
1,62.5,0.0192
1,65.625,0.0862
1,68.75,0.1653
1,71.875,0.1892
1,75,0.0359
1,78.125,0.0431
1,81.25,0.0575
1,84.375,0.1413
1,87.5,0.0503
1,90.625,0.0958
1,93.75,0.1102
1,96.875,0.1365
1,100,0.0431
1,103.125,0.0623
1,106.25,0.0599
1,109.375,0.2515
1,112.5,0.1293
1,115.625,0.091
1,118.75,0.1245
1,121.875,0.2826
1,125,0.1389
1,128.125,0.0958
1,131.25,0.2635
1,134.375,0.8335
1,137.5,0.2635
1,140.625,0.2587
1,143.75,0.2611
1,146.875,0.2635
1,150,0.2467
1,153.125,0.2491
1,156.25,12.047
1,159.375,0.285
1,162.5,0.2443
1,165.625,0.1748
1,168.75,0.1605
1,171.875,0.3832
1,175,0.3138
1,178.125,0.0862
1,181.25,0.0623
1,184.375,0.2395
1,187.5,0.0934
1,190.625,0.0599
1,193.75,0.2946
1,196.875,0.17
1,200,0.0623
1,203.125,0.1461
1,206.25,0.2084
1,209.375,0
1,212.5,0
1,215.625,0
1,218.75,0
1,221.875,0
1,225,0
1,228.125,0
1,231.25,0
1,234.375,0
1,237.5,0
1,240.625,0
1,243.75,0
1,246.875,0.1389
1,250,0.1533
1,253.125,0.2179
1,256.25,0.2179
1,259.375,0.0503
1,262.5,0.0814
1,265.625,0.2012
1,268.75,0.1748
1,271.875,0.1365
1,275,0.0719
1,278.125,0.0814
1,281.25,0.0359
1,284.375,0.1317
1,287.5,0.079
1,290.625,0.1221
1,293.75,0.1006
1,296.875,0.0479
1,300,0.0072
1,303.125,0.0407
1,306.25,0.0263
1,309.375,0.024
1,312.5,0.0647
1,315.625,0.0311
1,318.75,0.1317
1,321.875,0.0144
1,325,0.0623
1,328.125,0.0647
1,331.25,0.0407
1,334.375,0.024
1,337.5,0.0287
1,340.625,0.0311
1,343.75,0.0862
1,346.875,0.0359
1,350,0.0407
1,353.125,0.0862
1,356.25,0.079
1,359.375,0.0958
1,362.5,0.0263
1,365.625,0.0192
1,368.75,0.0455
1,371.875,0.0671
1,375,0.012
1,378.125,0.0958
1,381.25,0.0886
1,384.375,0.0216
1,387.5,0.0072
1,390.625,0.0695
1,393.75,0.0407
1,396.875,0.0479
1,400,0.0287
1,403.125,0.0503
1,406.25,0.0503
1,409.375,0.0527
1,412.5,0.0599
1,415.625,0.0335
1,418.75,0.0407
1,421.875,0.0599
1,425,0.0479
1,428.125,0.115
1,431.25,0.0527
1,434.375,0.0359
