mac,time,freq,fftAccX,fftAccY,fftAccZ,fftVelocX,fftVelocY,fftVelocZ,
454822000006,2022-04-13T17:43:38.000Z,0,0.6275,0.8383,10.4568,Infinity,Infinity,Infinity
,,1.5625,0.0862,0.0838,0.0647,8.7803,8.5358,6.5903
,,3.125,0.0335,0.0455,0.0359,1.7061,2.3173,1.8284
,,4.6875,0.115,0.1629,0.0575,3.9046,5.531,1.9523
,,6.25,0.079,0.1557,0.0527,2.0117,3.9649,1.342
,,7.8125,0.1605,0.5365,0.2132,3.2697,10.9295,4.3433
,,9.375,0.0575,0.2132,0.0479,0.9762,3.6194,0.8132
,,10.9375,0.1365,0.1461,0.0862,1.9863,2.1259,1.2543
,,12.5,0.1102,0.1078,0.0623,1.4031,1.3726,0.7932
,,14.0625,0.0862,0.1964,0.0455,0.9756,2.2228,0.515
,,15.625,0.182,0.4215,0.2539,1.8538,4.2934,2.5862
,,17.1875,0.1221,0.4982,0.1916,1.1306,4.6133,1.7742
,,18.75,0.1174,0.1006,0.2203,0.9965,0.8539,1.87
,,20.3125,0.091,0.0719,0.0455,0.713,0.5634,0.3565
,,21.875,0.0551,0.0958,0.091,0.4009,0.697,0.6621
,,23.4375,0.0407,0.0766,0.0958,0.2764,0.5202,0.6505
,,25,0.0335,0.1844,0.2443,0.2133,1.1739,1.5553
,,26.5625,0.1677,0.0886,0.0862,1.0048,0.5309,0.5165
,,28.125,0.0335,0.0431,0.115,0.1896,0.2439,0.6508
,,29.6875,0.0168,0.0695,0.0431,0.0901,0.3726,0.2311
,,31.25,0.0335,0.091,0.0695,0.1706,0.4635,0.354
,,32.8125,0.1437,0.1078,0.2395,0.697,0.5229,1.1617
,,34.375,0.0263,0.0503,0.0551,0.1218,0.2329,0.2551
,,35.9375,0.0647,0.0862,0.0335,0.2865,0.3818,0.1484
,,37.5,0.0623,0.0599,0.0742,0.2644,0.2542,0.3149
,,39.0625,0.0359,0.0527,0.0814,0.1463,0.2147,0.3317
,,40.625,0.079,0.0575,0.1389,0.3095,0.2253,0.5442
,,42.1875,0.0527,0.0287,0.0671,0.1988,0.1083,0.2531
,,43.75,0.0695,0.0647,0.1102,0.2528,0.2354,0.4009
,,45.3125,0.0599,0.0647,0.0503,0.2104,0.2273,0.1767
,,46.875,0.091,0.0671,0.0551,0.309,0.2278,0.1871
,,48.4375,0.1509,0.0695,0.1102,0.4958,0.2284,0.3621
,,50,0.115,0.0383,0.0455,0.3661,0.1219,0.1448
,,51.5625,0.0503,0.091,0.0814,0.1553,0.2809,0.2513
,,53.125,0.0695,0.0431,0.0958,0.2082,0.1291,0.287
,,54.6875,0.0671,0.0503,0.0647,0.1953,0.1464,0.1883
,,56.25,0.0671,0.0575,0.0431,0.1899,0.1627,0.1219
,,57.8125,0.0599,0.0287,0.1126,0.1649,0.079,0.31
,,59.375,0.4096,0.2323,0.5509,1.0979,0.6227,1.4767
,,60.9375,0.0311,0.0695,0.0814,0.0812,0.1815,0.2126
,,62.5,0.0862,0.0647,0.0766,0.2195,0.1648,0.1951
,,64.0625,0.0862,0.0359,0.0695,0.2142,0.0892,0.1727
,,65.625,0.2922,0.091,0.2275,0.7086,0.2207,0.5517
,,67.1875,0.1509,0.2132,0.1772,0.3575,0.505,0.4198
,,68.75,0.1557,0.0527,0.0551,0.3604,0.122,0.1276
,,70.3125,0.0671,0.0599,0.0503,0.1519,0.1356,0.1139
,,71.875,0.1533,0.0383,0.1126,0.3395,0.0848,0.2493
,,73.4375,0.0742,0.0263,0.0862,0.1608,0.057,0.1868
,,75,0.1557,0.1174,0.0862,0.3304,0.2491,0.1829
,,76.5625,0.2371,0.2132,0.1509,0.4929,0.4432,0.3137
,,78.125,0.1293,0.0814,0.1054,0.2634,0.1658,0.2147
,,79.6875,0.2179,0.0048,0.0479,0.4352,0.0096,0.0957
,,81.25,0.1245,0.1365,0.0144,0.2439,0.2674,0.0282
,,82.8125,0.103,0.1269,0.0814,0.198,0.2439,0.1564
,,84.375,0.4646,0.4119,0.3928,0.8764,0.777,0.7409
,,85.9375,0.2108,0.1006,0.1102,0.3904,0.1863,0.2041
,,87.5,0.2156,0.0742,0.0503,0.3922,0.135,0.0915
,,89.0625,0.2491,0.1341,0.0719,0.4451,0.2396,0.1285
,,90.625,0.1796,0.0719,0.0359,0.3154,0.1263,0.063
,,92.1875,0.2251,0.5054,0.2682,0.3886,0.8725,0.463
,,93.75,0.3018,0.1724,0.0647,0.5124,0.2927,0.1098
,,95.3125,0.4287,0.2706,0.1006,0.7159,0.4519,0.168
,,96.875,0.297,0.0814,0.0527,0.4879,0.1337,0.0866
,,98.4375,0.1772,0.1365,0.0527,0.2865,0.2207,0.0852
,,100,1.0682,0.6419,0.2635,1.7001,1.0216,0.4194
,,101.5625,0.5676,0.2587,0.1221,0.8895,0.4054,0.1913
,,103.125,0.1485,0.2156,0.1126,0.2292,0.3327,0.1738
,,104.6875,0.3473,0.2299,0.103,0.528,0.3495,0.1566
,,106.25,0.3018,0.2706,0.103,0.4521,0.4053,0.1543
,,107.8125,0.4958,0.2659,0.1748,0.7319,0.3925,0.258
,,109.375,0.4359,0.3018,0.2132,0.6343,0.4392,0.3102
,,110.9375,0.7449,0.1413,0.2227,1.0687,0.2027,0.3195
,,112.5,0.2203,0.1078,0.0742,0.3117,0.1525,0.105
,,114.0625,0.1916,0.0766,0.0479,0.2673,0.1069,0.0668
,,115.625,0.2874,0.1724,0.1126,0.3956,0.2373,0.155
,,117.1875,0.5078,0.0192,0.194,0.6897,0.0261,0.2635
,,118.75,0.7544,0.6155,0.1629,1.0111,0.8249,0.2183
,,120.3125,0.5341,0.3329,0.0599,0.7065,0.4404,0.0792
,,121.875,0.4599,0.3114,0.1269,0.6006,0.4067,0.1657
,,123.4375,0.1772,0.1245,0.0072,0.2285,0.1605,0.0093
,,125,0.8957,0.788,0.0766,1.1404,1.0033,0.0975
,,126.5625,1.1281,0.6419,0.2012,1.4186,0.8072,0.253
,,128.125,1.5065,0.7736,0.2539,1.8714,0.961,0.3154
,,129.6875,0.7209,0.5892,0.103,0.8847,0.7231,0.1264
,,131.25,0.5054,0.2682,0.1389,0.6129,0.3252,0.1684
,,132.8125,0.9341,0.582,0.0503,1.1194,0.6974,0.0603
,,134.375,0.982,0.7377,0.1964,1.1631,0.8737,0.2326
,,135.9375,2.7807,1.9017,0.5149,3.2556,2.2265,0.6028
,,137.5,0.7041,0.4287,0.1198,0.815,0.4962,0.1387
