mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000006,2022-04-25T07:43:17.000Z,0,0.6131,0.7688,10.2844,Infinity,Infinity,Infinity
,,1.5625,0.0192,0.012,0.0719,1.9557,1.2223,7.3237
,,3.125,0.0431,0.1293,0.0359,2.1951,6.5852,1.8284
,,4.6875,0.0335,0.0527,0.079,1.1374,1.7893,2.6823
,,6.25,0.0359,0.1964,0.0359,0.9142,5.0013,0.9142
,,7.8125,0.0671,0.4862,0.1509,1.3669,9.9048,3.0741
,,9.375,0.0671,0.2132,0.0886,1.1391,3.6194,1.5041
,,10.9375,0.0623,0.1916,NaN,0.9065,2.788,NaN
,,12.5,0.0455,0.115,NaN,0.5793,1.4642,NaN
,,14.0625,0.0216,0.0742,NaN,0.2445,0.8398,NaN
,,15.625,0.1078,0.2012,NaN,1.098,2.0494,NaN
,,17.1875,0.1988,0.3712,NaN,1.8409,3.4373,NaN
,,18.75,0.0503,0.1174,NaN,0.427,0.9965,NaN
,,20.3125,0.0359,0.1389,NaN,0.2813,1.0883,NaN
,,21.875,0.0623,0.0431,NaN,0.4533,0.3136,NaN
,,23.4375,0.079,0.0886,NaN,0.5365,0.6016,NaN
,,25,0.1054,0.3066,NaN,0.671,1.9519,NaN
,,26.5625,0.0455,0.0551,NaN,0.2726,0.3301,NaN
,,28.125,0.0479,0.1221,NaN,0.2711,0.6909,NaN
,,29.6875,0.1413,0.1006,0.1748,0.7575,0.5393,0.9371
,,31.25,0.0216,0.1653,0.1317,0.11,0.8419,0.6707
,,32.8125,0.1078,0.1269,0.1245,0.5229,0.6155,0.6039
,,34.375,0.0766,0.0479,0.0287,0.3547,0.2218,0.1329
,,35.9375,0.2251,0.0431,0.0695,0.9969,0.1909,0.3078
,,37.5,0.091,0.0695,0.2227,0.3862,0.295,0.9452
,,39.0625,0.0647,0.0383,0.1605,0.2636,0.156,0.6539
,,40.625,0.1437,0.0647,0.1341,0.563,0.2535,0.5254
,,42.1875,0.1796,0.1174,0.1605,0.6776,0.4429,0.6055
,,43.75,0.0719,0.1533,0.2323,0.2616,0.5577,0.8451
,,45.3125,0.0742,0.0335,0.2275,0.2606,0.1177,0.7991
,,46.875,0.1174,0.0862,0.0503,0.3986,0.2927,0.1708
,,48.4375,0.1389,0.091,0.0623,0.4564,0.299,0.2047
,,50,0.0431,0.0599,0.2132,0.1372,0.1907,0.6786
,,51.5625,0.103,0.103,0.1629,0.3179,0.3179,0.5028
,,53.125,0.2994,0.1485,0.1724,0.897,0.4449,0.5165
,,54.6875,0.0623,0.0407,0.1198,0.1813,0.1184,0.3486
,,56.25,0.206,0.0527,0.1078,0.5829,0.1491,0.305
,,57.8125,0.2706,0.1054,0.103,0.7449,0.2902,0.2836
,,59.375,0.0886,0.091,0.1102,0.2375,0.2439,0.2954
,,60.9375,0.2922,0.2347,0.4838,0.7632,0.613,1.2636
,,62.5,0.1078,0.1245,0.2251,0.2745,0.317,0.5732
,,64.0625,0.2611,0.0958,0.1988,0.6487,0.238,0.4939
,,65.625,0.0503,0.0383,0.1629,0.122,0.0929,0.3951
,,67.1875,0.1772,0.1102,0.17,0.4198,0.261,0.4027
,,68.75,0.2635,0.285,0.1868,0.61,0.6598,0.4324
,,70.3125,0.1844,0.0814,0.0072,0.4174,0.1843,0.0163
,,71.875,0.0216,0.0431,0.1054,0.0478,0.0954,0.2334
,,73.4375,0.0766,0.0742,0.0838,0.166,0.1608,0.1816
,,75,0.1389,0.0599,0.0814,0.2948,0.1271,0.1727
,,76.5625,0.3257,0.0719,0.1269,0.6771,0.1495,0.2638
,,78.125,0.3305,0.1054,0.1413,0.6733,0.2147,0.2879
,,79.6875,0.0311,0.0216,0.0862,0.0621,0.0431,0.1722
,,81.25,0.1126,0.0814,0.103,0.2206,0.1594,0.2018
,,82.8125,0.1198,0.024,0.0048,0.2302,0.0461,0.0092
,,84.375,0.0527,0.0431,0.0311,0.0994,0.0813,0.0587
,,85.9375,0.4503,0.5269,0.1485,0.8339,0.9758,0.275
,,87.5,0.103,0.1245,0.0048,0.1873,0.2265,0.0087
,,89.0625,0.285,0.1988,0.0216,0.5093,0.3553,0.0386
,,90.625,0.1653,0.1724,0.0886,0.2903,0.3028,0.1556
,,92.1875,0.2467,0.2323,0,0.4259,0.401,0
,,93.75,0.8862,0.5676,0.1269,1.5045,0.9636,0.2154
,,95.3125,0.2395,0.1557,0.1293,0.3999,0.26,0.2159
,,96.875,0.0072,0.2395,0.0719,0.0118,0.3935,0.1181
,,98.4375,0.1413,0.1509,0.0814,0.2285,0.244,0.1316
,,100,0.2084,0.1245,0.0455,0.3317,0.1981,0.0724
,,101.5625,0.2515,0.1868,0.079,0.3941,0.2927,0.1238
,,103.125,0.2227,0.2874,0.2467,0.3437,0.4436,0.3807
,,104.6875,0.3617,0.1772,0.182,0.5499,0.2694,0.2767
,,106.25,0.0886,0.1317,0.0886,0.1327,0.1973,0.1327
,,107.8125,0.0886,0.0671,0.0886,0.1308,0.0991,0.1308
,,109.375,0.1293,0.1509,0.1245,0.1881,0.2196,0.1812
,,110.9375,0.8407,0.4,0.2563,1.2061,0.5739,0.3677
,,112.5,0.1796,0.1485,0.1341,0.2541,0.2101,0.1897
